url,prix_tnd,nom,marque,ram_go,stockage_go,cpu_serie,os_platform,has_5g,has_wifi
https://www.mytek.tn/pc-de-bureau-dell-pro-tower-qct1250-i7-14e-gen-8go-512go-ssd-noir.html,2699.0,PC de Bureau DELL Pro Tower QCT1250 i7 14è Gén 8Go 512Go SSD - Noir,DELL,8.0,512.0,7.0,FreeDos,0,0
https://www.mytek.tn/pc-de-bureau-all-in-one-dell-pro-24-i5-14e-gen-8go-512go-ssd.html,2779.0,PC de Bureau All In One Dell Pro 24 i5 14è Gén 8Go 512Go SSD,DELL,8.0,512.0,5.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-dell-pro-tower-plus-qbt1250-ultra-7-265-8go-512go-ssd-noir.html,2899.0,PC de Bureau DELL Pro Tower Plus QBT1250 Ultra 7 265 8Go 512Go SSD - Noir,DELL,8.0,512.0,0.0,FreeDos,0,0
https://www.mytek.tn/pc-de-bureau-dell-tower-ect1250-i5-14e-gen-32go-512go-ssd-noir.html,3119.0,PC de Bureau DELL Tower ECT1250 i5 14è Gén 32Go 512Go SSD - Noir,DELL,32.0,512.0,5.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-dell-pro-tower-qct1250-i7-14e-gen-16go-512go-ssd-noir.html,3269.0,PC de Bureau DELL Pro Tower QCT1250 i7 14è Gén 16Go 512Go SSD - Noir,DELL,16.0,512.0,7.0,FreeDos,0,0
https://www.mytek.tn/pc-de-bureau-all-in-one-dell-pro-24-plus-ultra-5-245-16go-512go-ssd.html,3385.0,PC de Bureau All In One Dell Pro 24 Plus Ultra 5 245 16Go 512Go SSD,DELL,16.0,512.0,0.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-all-in-one-dell-pro-24-plus-ultra-7-265-16go-512go-ssd.html,3929.0,PC de Bureau All In One Dell Pro 24 Plus Ultra 7 265 16Go 512Go SSD,DELL,16.0,512.0,0.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-dell-pro-tower-plus-qbt1250-ultra-7-265-32go-512go-ssd-noir.html,4059.0,PC de Bureau DELL Pro Tower Plus QBT1250 Ultra 7 265 32Go 512Go SSD - Noir,DELL,32.0,512.0,0.0,FreeDos,0,0
https://www.mytek.tn/pc-de-bureau-hp-pro-mini-260-g9-i3-13e-gen-8go-256go-ssd-noir.html,1469.0,Pc De Bureau HP Pro Mini 260 G9 i3 13è Gén 8Go 256Go SSD - Noir,HP,8.0,256.0,3.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-hp-pro-mini-260-g9-i3-13e-gen-16go-256go-ssd-noir.html,1685.0,Pc De Bureau HP Pro Mini 260 G9 i3 13è Gén 16Go 256Go SSD - Noir,HP,16.0,256.0,3.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-hp-pro-tower-290-g9-i5-14e-gen-8go-512go-ssd-noir.html,2299.0,Pc De Bureau HP Pro Tower 290 G9 I5 14è Gén 8Go 512Go SSD - Noir,HP,8.0,512.0,5.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-hp-pro-tower-290-g9-i5-14e-gen-8g-512go-ssd-noir.html,2449.0,Pc De Bureau HP Pro Tower 290 G9 I5 14è Gén 8G 512Go SSD - Noir,HP,8.0,512.0,5.0,Windows 11 Pro,0,1
https://www.mytek.tn/pc-de-bureau-all-in-one-hp-24-cr0057nk-amd-ryzen-5-8go-512go-ssd-noir.html,2599.0,PC de Bureau All In One HP 24-cr0057nk AMD Ryzen 5 8Go 512Go SSD - Noir,HP,8.0,512.0,0.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-all-in-one-hp-proone-240-g10-ultra-5-125u-8go-512go-ssd-noir.html,2739.0,PC de Bureau All In One HP ProOne 240 G10 Ultra 5 125U 8Go 512Go SSD - Noir,HP,8.0,512.0,0.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-all-in-one-hp-proone-240-g10-ultra-5-125u-8g-512go-ssd-noir.html,2739.0,PC de Bureau All In One HP ProOne 240 G10 Ultra 5 125U 8G 512Go SSD - Noir,HP,8.0,512.0,0.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-all-in-one-hp-ai-24-cr2012nk-ultra-5-225u-8go-512go-ssd-noir.html,2799.0,PC de Bureau All In One HP AI 24-cr2012nk Ultra 5 225U 8Go 512Go SSD - Noir,HP,8.0,512.0,0.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-all-in-one-hp-ai-24-cr2016nk-ultra-5-225u-16go-512go-ssd-blanc.html,3149.0,PC de Bureau All In One HP AI 24-cr2016nk Ultra 5 225U 16Go 512Go SSD - Blanc,HP,16.0,512.0,0.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-all-in-one-hp-proone-240-g10-ultra-5-125u-16go-512go-ssd-noir.html,3169.0,PC de Bureau All In One HP ProOne 240 G10 Ultra 5 125U 16Go 512Go SSD - Noir,HP,16.0,512.0,0.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-all-in-one-hp-ai-24-cr2004nk-ultra-5-225u-16go-1to-ssd-noir.html,3209.0,PC de Bureau All In One HP AI 24-cr2004nk Ultra 5 225U 16Go 1To SSD - Noir,HP,16.0,1024.0,0.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-all-in-one-hp-proone-240-g10-i3-n300-8go-256go-ssd-noir.html,3385.0,PC de Bureau All In One HP ProOne 240 G10 i3 N300 8Go 256Go SSD - Noir,HP,8.0,256.0,3.0,FreeDos,0,1
