url,prix_tnd,nom,marque,ram_go,stockage_go,taille_ecran,cpu_brand,os_platform,has_4g,has_5g,has_wifi6,has_wifi,has_bluetooth
https://www.mytek.tn/smartphone-oscal-tiger-12-8go-128go-bleu.html,499.0,Smartphone OSCAL Tiger 12 16Go 128Go - Bleu,OSCAL,8.0,1024.0,6.78,MediaTek,Android,1,0,0,1,1
https://www.mytek.tn/smartphone-oscal-tiger-12-16go-128go-gris.html,499.0,Smartphone OSCAL Tiger 12 16Go 128Go - Gris,OSCAL,8.0,128.0,6.78,MediaTek,Android,1,0,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a07-4go-64go-couleur-noir.html,399.0,Smartphone SAMSUNG GALAXY A07 8Go 64Go - Couleur Noir,SAMSUNG,8.0,64.0,6.7,MediaTek,Android,1,0,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a07-64go-4go-vert.html,399.0,Smartphone SAMSUNG GALAXY A07 64Go 8Go - Vert,SAMSUNG,8.0,64.0,6.7,MediaTek,Android,1,0,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a07-4go-64go-light-violet.html,399.0,Smartphone SAMSUNG GALAXY A07 8Go 64Go - Light Violet,SAMSUNG,8.0,64.0,6.7,MediaTek,Android,1,0,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a07-4go-128go-4g-noir.html,479.0,Smartphone SAMSUNG Galaxy A07 8Go 128Go 4G - Noir,SAMSUNG,8.0,128.0,6.7,MediaTek,Android,1,0,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a07-4g-8go-128go-violet-clair.html,479.0,Smartphone Samsung Galaxy A07 4G 8Go 128Go - Violet Clair,SAMSUNG,8.0,128.0,6.7,MediaTek,Android,1,0,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a07-4go-128go-4g-green.html,479.0,Smartphone SAMSUNG Galaxy A07 8Go 128Go 4G - Green,SAMSUNG,8.0,128.0,6.7,MediaTek,Android,1,0,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a06-5g-4go-64go-noir.html,499.0,Smartphone SAMSUNG GALAXY A06 5G 8Go 64Go - Noir,SAMSUNG,4.0,64.0,6.7,Autre,Android,1,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a07-ta-12go-128go-couleur-vert.html,499.0,Smartphone SAMSUNG GALAXY A07 TA 12Go 128Go - Vert,SAMSUNG,12.0,128.0,6.7,MediaTek,Android,1,0,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a07-6go-128go-couleur-noir.html,569.0,Smartphone SAMSUNG GALAXY A07 12Go 128Go - Noir,SAMSUNG,12.0,128.0,6.7,MediaTek,Android,1,0,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a07-12go-128go-violet-clair.html,569.0,Smartphone SAMSUNG GALAXY A07 12Go 128Go - Violet Clair,SAMSUNG,6.0,128.0,6.7,MediaTek,Android,1,0,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a07-12go-128go-vert.html,569.0,Smartphone SAMSUNG GALAXY A07 12Go 128Go - Vert,SAMSUNG,6.0,128.0,6.7,MediaTek,Android,1,0,0,1,1
https://www.mytek.tn/samsung-galaxy-a17-4g-8go-128go-gris.html,699.0,Samsung Galaxy A17 4G 8Go 128Go - Gris,SAMSUNG,4.0,128.0,6.7,MediaTek,Android,1,0,0,1,1
https://www.mytek.tn/samsung-galaxy-a17-4g-8go-128go-noir.html,699.0,Samsung Galaxy A17 4G 8Go 128Go - Noir,SAMSUNG,4.0,128.0,6.7,MediaTek,Android,1,0,0,1,1
https://www.mytek.tn/samsung-galaxy-a17-4g-8go-128go-light-blue.html,699.0,Samsung Galaxy A17 4G 8Go 128Go - Light Blue,SAMSUNG,4.0,128.0,6.7,MediaTek,Android,1,0,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a17-4g-6go-128go-noir.html,799.0,Smartphone SAMSUNG GALAXY A17 4G 12Go 128Go - Noir,SAMSUNG,6.0,128.0,6.7,MediaTek,Android,1,0,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a17-4g-6go-128go-bleu-clair.html,799.0,Smartphone SAMSUNG GALAXY A17 4G 12Go 128Go - Bleu Clair,SAMSUNG,6.0,128.0,6.7,MediaTek,Android,1,0,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a17-5g-6go-128go-gris.html,899.0,Smartphone SAMSUNG GALAXY A17 5G 12Go 128Go - Gris,SAMSUNG,6.0,128.0,6.7,Samsung Exynos,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a17-5g-6go-128go-bleu.html,899.0,Smartphone SAMSUNG GALAXY A17 5G 12Go 128Go - Bleu,SAMSUNG,6.0,128.0,6.7,Samsung Exynos,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a17-5g-6go-128go-noir.html,899.0,Smartphone SAMSUNG GALAXY A17 5G 12Go 128Go - Noir,SAMSUNG,6.0,128.0,6.7,Samsung Exynos,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a26-5g-6go-128go-noir.html,1069.0,Smartphone SAMSUNG Galaxy A26 5G 12Go 128Go - Noir,SAMSUNG,12.0,128.0,6.7,Autre,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a26-5g-6go-128go-rose.html,1069.0,Smartphone SAMSUNG Galaxy A26 5G 12Go 128Go - Rose,SAMSUNG,12.0,128.0,6.7,Autre,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a17-5g-8go-256go-noir.html,1199.0,Smartphone SAMSUNG GALAXY A17 5G 16Go 256Go - Noir,SAMSUNG,16.0,256.0,6.7,Samsung Exynos,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a17-5g-8go-256go-bleu.html,1199.0,Smartphone SAMSUNG GALAXY A17 5G 16Go 256Go - Bleu,SAMSUNG,16.0,256.0,6.7,Samsung Exynos,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a17-5g-8go-256go-gris.html,1199.0,Smartphone SAMSUNG GALAXY A17 5G 16Go 256Go - Gris,SAMSUNG,16.0,256.0,6.7,Samsung Exynos,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a26-5g-8go-256go-blanc.html,1269.0,Smartphone SAMSUNG Galaxy A26 5G 16Go 256Go - Blanc,SAMSUNG,16.0,256.0,6.7,Autre,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a26-5g-8go-256go-noir.html,1269.0,Smartphone SAMSUNG Galaxy A26 5G 16Go 256Go - Noir,SAMSUNG,16.0,256.0,6.7,Autre,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a36-5g-8go-128go-noir.html,1359.0,Smartphone SAMSUNG Galaxy A36 5G 16Go 128Go - Noir,SAMSUNG,16.0,128.0,6.7,Autre,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a36-5g-8go-128go-blanc.html,1359.0,Smartphone SAMSUNG Galaxy A36 5G 16Go 128Go - blanc,SAMSUNG,16.0,128.0,6.7,Autre,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a36-5g-8go-256go-noir.html,1549.0,Smartphone SAMSUNG Galaxy A36 5G 16Go 256Go - Noir,SAMSUNG,16.0,256.0,6.7,Autre,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a36-5g-8go-256go-lavender.html,1549.0,Smartphone SAMSUNG Galaxy A36 5G 16Go 256Go - Lavender,SAMSUNG,16.0,256.0,6.7,Autre,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a36-5g-8go-256go-blanc.html,1549.0,Smartphone SAMSUNG Galaxy A36 5G 16Go 256Go - Blanc,SAMSUNG,16.0,256.0,6.7,Autre,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a55-5g-16go-256go-awesome-navy.html,1599.0,Smartphone SAMSUNG GALAXY A55 5G 16Go 256Go - Awesome Navy,SAMSUNG,16.0,256.0,6.6,Samsung Exynos,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a55-5g-256go-16go-ice-blue.html,1599.0,Smartphone Samsung Galaxy A55 5G 256Go 16Go - Ice Blue,SAMSUNG,16.0,256.0,6.6,Samsung Exynos,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a56-5g-8go-128go-graphite.html,1699.0,Smartphone SAMSUNG Galaxy A56 5G 16Go 128Go - Graphite,SAMSUNG,16.0,128.0,6.7,Autre,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a56-5g-8go-128go-gris.html,1699.0,Smartphone SAMSUNG Galaxy A56 5G 16Go 128Go - Gris,SAMSUNG,16.0,128.0,6.7,Autre,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a37-5g-8go-128go-blanc.html,1799.0,Smartphone Samsung Galaxy A37 5G 16Go 128Go - Blanc,SAMSUNG,16.0,128.0,6.7,Samsung Exynos,Android,0,1,1,0,1
https://www.mytek.tn/smartphone-samsung-galaxy-a37-5g-8go-128go-lavender.html,1799.0,Smartphone Samsung Galaxy A37 5G 16Go 128Go - Lavender,SAMSUNG,16.0,128.0,6.7,Samsung Exynos,Android,0,1,1,0,1
https://www.mytek.tn/smartphone-samsung-galaxy-a37-5g-8go-128go-gray-green.html,1799.0,Smartphone Samsung Galaxy A37 5G 16Go 128Go - Gray Green,SAMSUNG,16.0,128.0,6.7,Samsung Exynos,Android,0,1,1,0,1
https://www.mytek.tn/smartphone-samsung-galaxy-a37-5g-8go-128go-awesome-charcoal.html,1799.0,Smartphone Samsung Galaxy A37 5G 16Go 128Go - Awesome Charcoal,SAMSUNG,16.0,128.0,6.7,Samsung Exynos,Android,0,1,1,0,1
https://www.mytek.tn/smartphone-samsung-galaxy-a56-5g-8go-256go-graphite.html,1899.0,Smartphone SAMSUNG Galaxy A56 5G 16Go 256Go - Graphite,SAMSUNG,16.0,256.0,6.7,Autre,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a56-5g-16go-256go-gris.html,1899.0,Smartphone SAMSUNG Galaxy A56 5G 16Go 256Go - Gris,SAMSUNG,16.0,256.0,6.7,Autre,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a37-5g-8go-256go-blanc.html,1999.0,Smartphone Samsung Galaxy A37 5G 16Go 256Go - Blanc,SAMSUNG,16.0,256.0,6.7,Samsung Exynos,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a37-5g-8go-256go-lavender.html,1999.0,Smartphone Samsung Galaxy A37 5G 16Go 256Go - Lavender,SAMSUNG,16.0,256.0,6.7,Samsung Exynos,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a37-5g-8go-256go-gray-green.html,1999.0,Smartphone Samsung Galaxy A37 5G 16Go 256Go - Gray Green,SAMSUNG,16.0,256.0,6.7,Samsung Exynos,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a37-5g-8go-256go-awesome-charcoal.html,1999.0,Smartphone Samsung Galaxy A37 5G 16Go 256Go - Awesome Charcoal,SAMSUNG,16.0,256.0,6.7,Samsung Exynos,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-128go-light-blue.html,2099.0,Smartphone Samsung Galaxy A57 5G 16Go 128Go - Light Blue,SAMSUNG,16.0,128.0,6.7,Samsung Exynos,Android,0,1,1,0,1
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-128go-navy.html,2099.0,Smartphone Samsung Galaxy A57 5G 16Go 128Go - Navy,SAMSUNG,16.0,128.0,6.7,Samsung Exynos,Android,0,1,1,0,1
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-128go-lilas.html,2099.0,Smartphone Samsung Galaxy A57 5G 16Go 128Go - Lilas,SAMSUNG,16.0,128.0,6.7,Samsung Exynos,Android,0,1,1,0,1
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-128go-gris.html,2099.0,Smartphone Samsung Galaxy A57 5G 16Go 128Go - Gris,SAMSUNG,16.0,128.0,6.7,Samsung Exynos,Android,0,1,1,0,1
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-256go-light-blue.html,2299.0,Smartphone Samsung Galaxy A57 5G 16Go 256Go - Light Blue,SAMSUNG,16.0,256.0,6.7,Samsung Exynos,Android,0,1,1,0,1
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-256go-gris.html,2299.0,Smartphone Samsung Galaxy A57 5G 16Go 256Go - Gris,SAMSUNG,16.0,256.0,6.7,Samsung Exynos,Android,0,1,1,0,1
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-256go-navy.html,2299.0,Smartphone Samsung Galaxy A57 5G 16Go 256Go - Navy,SAMSUNG,16.0,256.0,6.7,Samsung Exynos,Android,0,1,1,0,1
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-256go-lilas.html,2299.0,Smartphone Samsung Galaxy A57 5G 16Go 256Go - LiLas,SAMSUNG,16.0,256.0,6.7,Samsung Exynos,Android,0,1,1,0,1
https://www.mytek.tn/smartphone-samsung-galaxy-s25-fe-8go-256go-bleu-clair.html,2799.0,Smartphone SAMSUNG GALAXY S25 FE 8Go 256Go - Ice Bleu,SAMSUNG,8.0,256.0,6.7,Samsung Exynos,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-s25-fe-8go-256go-bleu-marine.html,2799.0,Smartphone SAMSUNG GALAXY S25 FE 8Go 256Go - Bleu Marine,SAMSUNG,8.0,256.0,6.7,Samsung Exynos,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-s25-fe-8go-256go-noir.html,2799.0,Smartphone SAMSUNG GALAXY S25 FE 8Go 256Go - Noir,SAMSUNG,8.0,256.0,6.7,Samsung Exynos,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-s25-fe-8go-256go-blanc.html,2799.0,Smartphone SAMSUNG GALAXY S25 FE 8Go 256Go - Blanc,SAMSUNG,8.0,256.0,6.7,Samsung Exynos,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-s25-5g-12go-256go-ice-bleu.html,3399.0,Smartphone SAMSUNG GALAXY S25 5G 12Go 256Go - Ice bleu,SAMSUNG,12.0,256.0,6.2,Autre,Android,1,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-s25-12go-256go-light-green.html,3899.0,Smartphone SAMSUNG GALAXY S25+ 5G 12Go 256Go - Light Green,SAMSUNG,12.0,256.0,6.7,Autre,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-256go-blanc.html,3999.0,Smartphone SAMSUNG GALAXY S26 5G 12Go 256Go - Blanc,SAMSUNG,12.0,256.0,6.3,Samsung Exynos,Android,1,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-256go-violet-de-cobalt.html,3999.0,Smartphone SAMSUNG GALAXY S26 5G 12Go 256Go -Violet de Cobalt,SAMSUNG,12.0,256.0,6.3,Samsung Exynos,Android,1,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-256go-noir.html,3999.0,Smartphone SAMSUNG GALAXY S26 5G 12Go 256Go - Noir,SAMSUNG,12.0,256.0,6.3,Samsung Exynos,Android,1,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-256g-bleu-ciel.html,3999.0,Smartphone SAMSUNG GALAXY S26 5G 12Go 256Go -Bleu Ciel,SAMSUNG,12.0,256.0,6.3,Samsung Exynos,Android,1,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-s25-ultra-5g-12go-256go-noir-titanium.html,4799.0,Smartphone SAMSUNG GALAXY S25 Ultra 5G 12Go 256Go - Noir Titanium,SAMSUNG,12.0,256.0,6.9,Qualcomm,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-s25-ultra-5g-12go-256go-bleu-titanium.html,4799.0,Smartphone SAMSUNG GALAXY S25 Ultra 5G 12Go 256Go -Bleu Titanium,SAMSUNG,12.0,256.0,6.9,Qualcomm,Autre,0,1,0,1,1
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-512go-noir.html,4999.0,Smartphone SAMSUNG GALAXY S26 5G 12Go 512Go - Noir,SAMSUNG,12.0,512.0,6.3,Samsung Exynos,Android,1,1,0,1,1
