nom,url,prix_tnd,marque,ram_go,stockage_go,taille_ecran,os_platform,has_bluetooth
Téléphone Portable Clever F10 - Rose,https://www.mytek.tn/telephone-portable-clever-f10-rose.html,89.0,CLEVER,51.21875,16.0,2.4,Sans Système,0
Téléphone Portable Clever F10 - Vert,https://www.mytek.tn/telephone-portable-clever-f10-vert.html,89.0,CLEVER,51.21875,16.0,2.4,Sans Système,0
Téléphone Portable Clever F10 - Violet,https://www.mytek.tn/telephone-portable-clever-f10-violet.html,89.0,CLEVER,51.21875,16.0,2.4,Sans Système,0
Téléphone Portable Clever F10 - Blanc,https://www.mytek.tn/telephone-portable-clever-f10-blanc.html,89.0,CLEVER,51.21875,16.0,2.4,Sans Système,0
Téléphone Portable Clever F10 - Gold,https://www.mytek.tn/telephone-portable-clever-f10-gold.html,89.0,CLEVER,51.21875,16.0,2.4,Sans Système,0
Téléphone Portable Clever F10 - Bleu,https://www.mytek.tn/telephone-portable-clever-f10-bleu.html,89.0,CLEVER,256.0,16.0,2.4,Sans Système,0
Téléphone Portable EVERTEK EX18 - Orange,https://www.mytek.tn/telephone-portable-evertek-ex18-orange.html,35.0,EVERTEK,0.0234375,181.0,1.8,Autres,1
Téléphone Portable EVERTEK E3218 - Silver,https://www.mytek.tn/telephone-portable-evertek-e3218-silver.html,38.0,EVERTEK,0.03125,181.0,1.77,Autres,1
Téléphone Portable EVERTEK E3218 - Rouge,https://www.mytek.tn/telephone-portable-evertek-e3218-rouge.html,38.0,EVERTEK,0.03125,181.0,1.77,Autres,1
Téléphone Portable EVERTEK E3218 - Bleu,https://www.mytek.tn/telephone-portable-evertek-e3218-bleu.html,38.0,EVERTEK,0.03125,181.0,1.77,Autres,1
Téléphone Portable EVERTEK E3218 - Noir,https://www.mytek.tn/telephone-portable-evertek-e3218-noir.html,38.0,EVERTEK,0.03125,181.0,1.77,Autres,1
Téléphone Portable EVERTEK E3218 - Vert,https://www.mytek.tn/telephone-portable-evertek-e3218-vert.html,38.0,EVERTEK,0.03125,181.0,1.77,Autres,1
Téléphone Portable EVERTEK E3218 - Bleu Marine,https://www.mytek.tn/telephone-portable-evertek-e3218-bleu-marine.html,38.0,EVERTEK,0.03125,181.0,1.77,Autres,1
Téléphone Portable EVERTEK E3224 - Bleu foncé,https://www.mytek.tn/telephone-portable-evertek-e3224-bleu-fonce.html,49.0,EVERTEK,0.0234375,16.0,2.4,Autres,1
Téléphone Portable ITEL it2165 - Noir,https://www.mytek.tn/telephone-portable-itel-it2165-noir.html,35.0,ITEL,0.0296875,181.0,1.8,Autres,0
Téléphone Portable ITEL it2165 - Bleu Cité,https://www.mytek.tn/telephone-portable-itel-it2165-bleu-cite.html,35.0,ITEL,0.0296875,181.0,1.8,Autres,0
Téléphone Portable Maxfone 16 Max - Noir,https://www.mytek.tn/telephone-portable-maxfone-16-max-noir.html,79.9,MAXFONE,0.03125,16.0,2.4,Autres,1
Téléphone Portable Maxfone 16 Max - Gold,https://www.mytek.tn/telephone-portable-maxfone-16-max-gold.html,79.9,MAXFONE,0.03125,16.0,2.4,Autres,1
Téléphone Portable NOKIA 105 CRAZY 5 - Noir,https://www.mytek.tn/telephone-portable-nokia-105-crazy-5-noir.html,59.0,NOKIA,0.00390625,181.0,1.77,Inconnu,0
Téléphone portable NOKIA 130 HMD Nina - Dark Gray,https://www.mytek.tn/telephone-portable-nokia-130-hmd-nina-dark-gray.html,89.0,NOKIA,0.0078125,16.0,2.4,Autres,1
Téléphone portable NOKIA HMD 130 Nina - Bleu,https://www.mytek.tn/telephone-portable-nokia-130-hmd-nina-bleu.html,89.0,NOKIA,0.0078125,16.0,2.4,Autres,1
Téléphone portable Nokia 110 Power - Gris,https://www.mytek.tn/telephone-portable-nokia-110-power-gris.html,99.0,NOKIA,0.00390625,181.0,2.0,S30+,1
Téléphone portable NOKIA HMD 150 Nina - Dark Gray,https://www.mytek.tn/telephone-portable-nokia-hmd-150-nina-dark-gray.html,109.0,NOKIA,0.0078125,825.0,2.4,S30+,1
Téléphone portable NOKIA HMD 150 Nina - Purple,https://www.mytek.tn/telephone-portable-nokia-hmd-150-nina-purple.html,109.0,NOKIA,0.0078125,16.0,2.4,S30+,1
Téléphone Portable NOKIA 2660 Flip - Noir,https://www.mytek.tn/telephone-portable-nokia-2660-flip-noir.html,249.0,NOKIA,0.046875,181.0,2.8,S30+,0
"Téléphone Portable PHILIPS Fun 100 Dual SIM 2"" 1000 mAh - Noir",https://www.mytek.tn/telephone-portable-philips-e2106-noir.html,45.9,PHILIPS,0.00390625,181.0,2.0,Autres,0
"Téléphone Portable PHILIPS Fun 100 Dual SIM 2"" 1000 mAh - Bleu",https://www.mytek.tn/telephone-portable-philips-fun-100-dual-sim-2-1000-mah-bleu.html,45.9,PHILIPS,0.00390625,181.0,2.0,Autres,0
"Téléphone Portable PHILIPS Fun 100 Dual SIM 2"" 1000 mAh - Deep Blue",https://www.mytek.tn/telephone-portable-philips-fun-100-dual-sim-2-1000-mah-deep-blue.html,45.9,PHILIPS,0.00390625,181.0,2.0,Autres,0
