nom,url,prix_tnd,marque,taille_ecran,resolution_affichage,technologie_dalle,hdr,smart_tv,taux_rafraichissement,os_platform,has_4g,has_wifi6,has_wifi,has_bluetooth,has_ethernet
"TV SAMSUNG 55"" QLED 4K UHD Smart TV Q6F",https://www.mytek.tn/tv-samsung-55-qled-4k-uhd-smart-tv-q6f-2025-noir.html,1999.0,SAMSUNG,55.0,4K,QLED,True,True,84.8,Tizen,0,0,1,1,1
TV SAMSUNG 55'' QLED Q7F 4K Vision AI Smart TV,https://www.mytek.tn/tv-samsung-55-qled-q7f-4k-vision-ai-smart-tv-2025.html,2119.0,SAMSUNG,55.0,4K,QLED,True,True,84.8,Tizen,0,0,1,1,0
TV SAMSUNG 65'' Crystal UHD  4K Smart TV,https://www.mytek.tn/tv-samsung-65-crystal-uhd-u8000f-4k-smart-tv.html,2699.0,SAMSUNG,65.0,4K,QLED,True,True,74.8,Tizen,0,0,1,1,1
Tv SAMSUNG 55'' Smart QN70FAU Néo QLED 4K 2025,https://www.mytek.tn/tv-samsung-55-smart-qn70fau-neo-qled-4k-2025.html,2899.0,SAMSUNG,55.0,4K,QLED,True,True,100.0,Tizen,0,0,1,1,1
"TV SAMSUNG 65"" QLED 4K UHD Smart TV 65Q6F",https://www.mytek.tn/tv-samsung-65-qled-4k-uhd-smart-tv-65q6f-2025.html,2999.0,SAMSUNG,65.0,4K,QLED,True,True,74.8,Tizen,0,0,1,1,1
TV SAMSUNG 65'' QLED Q7F 4K Vision AI Smart TV (2025),https://www.mytek.tn/tv-samsung-65-qled-q7f-4k-vision-ai-smart-tv-2025.html,3249.0,SAMSUNG,65.0,4K,QLED,True,True,74.8,Tizen,0,0,1,1,1
TV SAMSUNG 70'' Crystal UHD U8000F 4K Smart TV,https://www.mytek.tn/tv-samsung-70-crystal-uhd-u8000f-4k-smart-tv.html,3279.0,SAMSUNG,70.0,4K,QLED,True,True,68.0,Tizen,0,0,1,1,1
TV SAMSUNG 75'' Crystal UHD U8000F 4K Smart TV,https://www.mytek.tn/tv-samsung-75-crystal-uhd-u8000f-4k-smart-tv.html,3999.0,SAMSUNG,75.0,4K,QLED,True,True,103.6,Tizen,0,0,1,1,1
TV SAMSUNG 65'' Smart QN70FAU Néo QLED 4K 2025,https://www.mytek.tn/tv-samsung-65-smart-qn70fau-neo-qled-4k-2025.html,4399.0,SAMSUNG,65.0,4K,QLED,True,True,100.0,Tizen,0,0,1,1,1
"Téléviseur SAMSUNG Q6FAAU 75"" QLED 4K UHD Smart TV - Noir",https://www.mytek.tn/televiseur-samsung-q6faau-75-qled-4k-uhd-smart-tv-noir.html,4899.0,SAMSUNG,75.0,4K,QLED,True,True,103.6,Tizen,0,0,1,1,1
TV SAMSUNG 75'' QLED Q7F 4K Vision AI Smart TV,https://www.mytek.tn/tv-samsung-75-qled-q7f-4k-vision-ai-smart-tv-2025.html,5299.0,SAMSUNG,75.0,4K,QLED,True,True,103.6,Tizen,0,0,1,1,1
TV SAMSUNG 85'' Crystal UHD U8000F 4K Smart TV,https://www.mytek.tn/tv-samsung-85-crystal-uhd-u8000f-4k-smart-tv.html,6649.0,SAMSUNG,85.0,4K,QLED,True,True,88.8,Tizen,0,0,1,1,1
TV SAMSUNG 85'' QLED Q7F 4K Vision AI Smart TV,https://www.mytek.tn/tv-samsung-85-qled-q7f-4k-vision-ai-smart-tv-2025.html,7899.0,SAMSUNG,85.0,4K,QLED,True,True,88.8,Tizen,0,0,1,1,1
Tv TCL 40'' S5K QLED  Full HD SMART + Récepteur intégré,https://www.mytek.tn/tv-tcl-40-s5k-qled-full-hd-smart.html,899.0,TCL,40.0,Full HD,QLED,True,True,60.0,Google TV,0,0,1,1,1
Tv TCL 43'' S5K QLED  Full HD SMART + Récepteur Intégré,https://www.mytek.tn/tv-tcl-43-s5k-qled-full-hd-smart.html,999.0,TCL,43.0,Full HD,QLED,True,True,60.0,Google TV,0,0,1,1,1
"TV TCL 50"" S5K QLED Full HD Smart Google TV (50S5K)",https://www.mytek.tn/tv-tcl-50-s5k-qled-full-hd-smart-google-tv-50s5k.html,1199.0,TCL,50.0,Full HD,QLED,True,True,84.8,Google TV,0,0,1,1,0
"Téléviseur TCL 55"" P6L Smart TV 4K UHD Google TV HDR10 - Noir",https://www.mytek.tn/televiseur-tcl-55-p6l-smart-tv-4k-uhd-google-tv-hdr10-noir.html,1539.0,TCL,55.0,4K,QLED,True,True,60.0,Google TV,0,0,1,1,0
Tv TCL 55'' QLED P8K 4K Google TV,https://www.mytek.tn/tv-tcl-55-qled-p8k-4k-google-tv.html,1969.0,TCL,55.0,4K,QLED,True,True,144.0,Google TV,0,0,1,1,0
"TV TCL 55"" Smart TV QLED MINI LED TV-TCL-55C6K- Noir",https://www.mytek.tn/tv-tcl-55-smart-tv-qled-mini-led-tv-tcl-55c6k-noir.html,2199.0,TCL,55.0,4K,QLED,True,True,84.8,Google TV,0,0,1,1,0
Téléviseur TCL 65'' P6L Smart Tv 4K UHD - Noir,https://www.mytek.tn/televiseur-tcl-65-p6l-smart-tv-4k-uhd-noir.html,2339.0,TCL,65.0,4K,QLED,True,True,74.8,Google TV,0,0,0,0,0
TV TCL 65'' Smart P7K QLED Ultra HD 4K,https://www.mytek.tn/tv-tcl-65-smart-p7k-qled-ultra-hd-4k.html,2749.0,TCL,65.0,4K,QLED,True,True,60.0,Google TV,0,0,1,1,1
TV TCL 65'' Smart P8K QLED UHD 4K,https://www.mytek.tn/tv-tcl-65-smart-p8k-qled-uhd-4k.html,2899.0,TCL,65.0,4K,QLED,True,True,144.0,Google TV,0,0,1,1,1
"TV TCL 65"" Smart TV QLED MINI LED TV-TCL-65C6K- Noir",https://www.mytek.tn/tv-tcl-65-smart-tv-qled-mini-led-tv-tcl-65c6k-noir.html,2999.0,TCL,65.0,4K,QLED,True,True,74.8,Google TV,0,0,1,1,0
TV TCL 75'' Smart P7K QLED UHD 4K,https://www.mytek.tn/tv-tcl-75-smart-p7k-qled-uhd-4k.html,3899.0,TCL,75.0,4K,QLED,True,True,60.0,Google TV,0,0,1,1,1
TV TCL 75'' Smart P8K QLED UHD 4K,https://www.mytek.tn/tv-tcl-75-smart-p8k-qled-uhd-4k.html,4399.0,TCL,75.0,4K,QLED,True,True,144.0,Google TV,0,0,1,1,1
"TV TCL 75C6K 75"" 4K Ultra HD Mini LED Smart TV Wifi",https://www.mytek.tn/tv-tcl-75c6k-75-4k-ultra-hd-mini-led-smart-tv-wifi.html,4669.0,TCL,75.0,4K,Mini-LED,True,True,120.0,Google TV,0,0,1,0,0
TV TCL 85'' Smart P7K QLED UHD 4K,https://www.mytek.tn/tv-tcl-85-smart-p7k-qled-uhd-4k.html,6669.0,TCL,85.0,4K,QLED,True,True,60.0,Google TV,0,0,1,1,1
