nom,url,prix_tnd,marque,ram_go,stockage_go,taille_ecran,os_platform,has_bluetooth,semaine,gamme_prix,cluster_id,cluster_direct
Téléphone Portable SMARTEC V1 Écran 2.0” 800mAh - Gris,https://www.mytek.tn/telephone-portable-smartec-v1-ecran-2-0-800mah-gris.html,39.0,SMARTEC,0.03125,32.0,2.0,Autres,1,3,Économique,SMARTEC::Économique::c0,1
"Téléphone Portable SMARTEC V1 Écran 2"" LCD 800 mAh - Noir",https://www.mytek.tn/telephone-portable-smartec-v1-ecran-2-lcd-800-mah-noir.html,39.0,SMARTEC,0.03125,32.0,2.0,Autres,1,3,Économique,SMARTEC::Économique::c0,1
Téléphone Portable SMARTEC V1 Double SIM 800mAh - bleu foncé,https://www.mytek.tn/telephone-portable-smartec-v1-double-sim-800mah-bleu-fonce.html,39.0,SMARTEC,0.03125,32.0,2.0,Autres,1,3,Économique,SMARTEC::Économique::c0,1
Téléphone Portable SMARTEC POWER X1 1400 mAh - Noir,https://www.mytek.tn/telephone-portable-smartec-power-x1-1400-mah-noir.html,59.0,SMARTEC,0.03125,32.0,1.4,Autres,1,3,Économique,SMARTEC::Économique::c0,1
Téléphone Portable SMARTEC POWER X1 Double SIM 1400 mAh - bleu,https://www.mytek.tn/telephone-portable-smartec-power-x1-double-sim-1400-mah-bleu.html,59.0,SMARTEC,0.03125,32.0,1.4,Autres,1,3,Économique,SMARTEC::Économique::c0,1
Téléphone Portable SMARTEC F1 FLIP - Noir,https://www.mytek.tn/telephone-portable-smartec-f1-flip-noir.html,85.0,SMARTEC,51.2109375,16.0,2.4,Inconnu,0,3,Milieu de gamme,SMARTEC::Milieu de gamme::c1,4
Téléphone Portable SMARTEC F1 FLIP - Bleu,https://www.mytek.tn/telephone-portable-smartec-f1-flip-bleu.html,85.0,SMARTEC,51.2109375,16.0,2.4,Autres,0,3,Milieu de gamme,SMARTEC::Milieu de gamme::c0,2
Téléphone Portable SMARTEC F1 FLIP - Gris,https://www.mytek.tn/telephone-portable-smartec-f1-flip-gris.html,85.0,SMARTEC,51.2109375,16.0,2.4,Autres,0,3,Milieu de gamme,SMARTEC::Milieu de gamme::c0,2
Téléphone Portable SMARTEC F1 FLIP - Rouge,https://www.mytek.tn/telephone-portable-smartec-f1-flip-rouge.html,85.0,SMARTEC,51.2109375,16.0,2.4,Inconnu,0,3,Milieu de gamme,SMARTEC::Milieu de gamme::c1,4
Téléphone Portable SMARTEC V2 - Noir,https://www.mytek.tn/telephone-portable-smartec-v2-noir.html,39.0,SMARTEC,0.03125,32.0,2.0,Inconnu,1,4,Économique,SMARTEC::Économique::c1,4
Téléphone Portable SMARTEC V2 - Blanc,https://www.mytek.tn/telephone-portable-smartec-v2-blanc.html,39.0,SMARTEC,0.03125,32.0,2.0,Inconnu,1,4,Économique,SMARTEC::Économique::c1,4
Téléphone Portable SMARTEC V2 - Rose,https://www.mytek.tn/telephone-portable-smartec-v2-rose.html,39.0,SMARTEC,0.03125,32.0,2.0,Inconnu,1,4,Économique,SMARTEC::Économique::c1,4
