categorie,marque,gamme,cluster,semaine_t,semaine_t1,n_produits_t,n_produits_t1,delta_prix_reel_pct,delta_estime_hedonic_pct,delta_estime_ridge_pct,delta_estime_rf_pct,ecart_residuel_pct,classification,cause_principale,accord_modeles,fiabilite_limitee,composition_stable,bootstrap_possible,ecart_residuel_ic_bas,ecart_residuel_ic_haut,ecart_residuel_p_value,ecart_residuel_significatif
pc_bureau,LENOVO,Économique,c0,1,2,7,7,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-16.2,14.85,0.974,False
pc_bureau,LENOVO,Économique,c0,2,3,7,6,1.26,-1.61,-1.52,3.27,2.87,Effectif du cluster modifié (7 → 6 produits) — lecture prix/qualité non isolable (cf. cause_principale='effectif'),effectif,False,False,False,True,-13.74,17.65,0.702,False
pc_bureau,LENOVO,Économique,c0,3,4,6,6,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-15.68,16.27,0.988,False
pc_bureau,MSI,Milieu de gamme,c0,1,2,25,25,-0.77,0.0,0.0,0.0,-0.77,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-9.4,7.41,0.916,False
pc_bureau,MSI,Milieu de gamme,c0,2,3,25,25,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-8.12,7.97,0.952,False
pc_bureau,MSI,Milieu de gamme,c0,3,4,25,25,-0.61,0.0,0.0,0.0,-0.61,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-9.14,7.26,0.904,False
pc_bureau,MSI,Premium,c0,1,2,8,8,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-34.17,27.07,0.98,False
pc_bureau,MSI,Premium,c0,2,3,8,8,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-35.45,25.55,0.996,False
pc_bureau,MSI,Premium,c0,3,4,8,8,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-36.26,25.94,1.0,False
pc_bureau,MSI,Premium,c1,1,2,19,19,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-3.73,3.5,0.978,False
pc_bureau,MSI,Premium,c1,2,3,19,19,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-3.82,3.71,0.988,False
pc_bureau,MSI,Premium,c1,3,4,19,19,-0.75,0.0,0.0,0.0,-0.75,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-5.21,3.86,0.784,False
pc_bureau,MSI,Économique,c0,1,2,15,15,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-3.28,3.29,0.938,False
pc_bureau,MSI,Économique,c0,2,3,15,15,-0.59,0.0,0.0,0.0,-0.59,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-3.88,3.05,0.716,False
pc_bureau,MSI,Économique,c0,3,4,15,15,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-3.16,3.14,0.988,False
pc_bureau,MSI,Économique,c1,1,2,15,14,0.37,1.74,0.18,1.07,-1.37,Effectif du cluster modifié (15 → 14 produits) — lecture prix/qualité non isolable (cf. cause_principale='effectif'),effectif,True,False,False,True,-14.79,10.33,0.856,False
pc_bureau,MSI,Économique,c1,2,3,14,12,4.38,4.41,0.45,2.7,-0.03,Effectif du cluster modifié (14 → 12 produits) — lecture prix/qualité non isolable (cf. cause_principale='effectif'),effectif,True,False,False,True,-14.92,13.4,0.992,False
pc_bureau,MSI,Économique,c1,3,4,12,12,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-17.04,13.25,1.0,False
pc_bureau,MYTEK,Milieu de gamme,c0,1,2,18,17,0.33,0.25,0.02,1.34,0.08,Effectif du cluster modifié (18 → 17 produits) — lecture prix/qualité non isolable (cf. cause_principale='effectif'),effectif,True,False,False,True,-6.84,7.01,0.97,False
pc_bureau,MYTEK,Milieu de gamme,c0,2,3,17,17,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-7.51,6.82,0.962,False
pc_bureau,MYTEK,Milieu de gamme,c0,3,4,17,17,-0.68,0.0,0.0,0.0,-0.68,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-7.31,6.61,0.864,False
pc_bureau,MYTEK,Premium,c0,1,2,8,8,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-24.84,22.61,1.0,False
pc_bureau,MYTEK,Premium,c0,2,3,8,8,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-24.67,24.98,0.948,False
pc_bureau,MYTEK,Premium,c0,3,4,8,7,2.69,-2.82,-0.45,2.22,5.51,Effectif du cluster modifié (8 → 7 produits) — lecture prix/qualité non isolable (cf. cause_principale='effectif'),effectif,False,False,False,True,-17.92,28.38,0.644,False
pc_bureau,MYTEK,Premium,c1,1,2,10,10,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-18.95,15.06,0.986,False
pc_bureau,MYTEK,Premium,c1,2,3,10,10,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-17.72,15.79,0.992,False
pc_bureau,MYTEK,Premium,c1,3,4,10,10,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-20.16,14.1,1.0,False
pc_bureau,MYTEK,Économique,c0,1,2,9,9,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-15.97,13.69,0.926,False
pc_bureau,MYTEK,Économique,c0,2,3,9,9,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-15.9,15.41,0.996,False
pc_bureau,MYTEK,Économique,c0,3,4,9,9,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-16.21,13.59,0.978,False
pc_bureau,MYTEK,Économique,c1,1,2,10,10,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-17.26,21.07,0.99,False
pc_bureau,MYTEK,Économique,c1,2,3,10,10,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-17.35,19.94,0.972,False
pc_bureau,MYTEK,Économique,c1,3,4,10,6,-2.08,-1.7,-0.02,1.28,-0.37,Effectif du cluster modifié (10 → 6 produits) — lecture prix/qualité non isolable (cf. cause_principale='effectif'),effectif,False,False,False,True,-18.76,28.93,0.992,False
pc_portables,ASUS,Milieu de gamme,c0,1,2,38,38,0.0,1.33,0.47,0.78,-1.33,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-8.41,6.37,0.716,False
pc_portables,ASUS,Milieu de gamme,c0,2,3,38,37,0.33,1.07,0.45,0.96,-0.75,Effectif du cluster modifié (38 → 37 produits) — lecture prix/qualité non isolable (cf. cause_principale='effectif'),effectif,True,False,False,True,-7.11,6.19,0.832,False
pc_portables,ASUS,Milieu de gamme,c0,3,4,37,37,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-6.17,6.92,0.98,False
pc_portables,ASUS,Milieu de gamme,c1,1,2,8,8,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-17.36,16.93,0.984,False
pc_portables,ASUS,Milieu de gamme,c1,2,3,8,8,0.0,0.66,1.86,0.12,-0.66,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-19.28,16.67,0.894,False
pc_portables,ASUS,Milieu de gamme,c1,3,4,8,8,-0.15,0.0,0.0,0.0,-0.15,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-18.33,17.75,0.978,False
pc_portables,ASUS,Premium,c0,1,2,8,8,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-37.02,36.26,1.0,False
pc_portables,ASUS,Premium,c0,2,3,8,8,-0.33,0.0,0.0,0.0,-0.33,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-34.63,37.8,1.0,False
pc_portables,ASUS,Premium,c0,3,4,8,8,-0.06,0.0,0.0,0.0,-0.06,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-34.52,35.44,1.0,False
pc_portables,ASUS,Premium,c1,1,2,9,9,0.0,5.75,5.56,1.27,-5.75,Amélioration technique non répercutée sur le prix (gain caché pour l'acheteur),qualite,True,False,True,True,-13.5,1.35,0.134,False
pc_portables,ASUS,Premium,c1,2,3,9,9,0.0,3.79,3.68,0.42,-3.79,Amélioration technique non répercutée sur le prix (gain caché pour l'acheteur),qualite,True,False,True,True,-11.83,3.66,0.36,False
pc_portables,ASUS,Premium,c1,3,4,9,8,-0.29,-0.82,-0.8,-0.8,0.54,Effectif du cluster modifié (9 → 8 produits) — lecture prix/qualité non isolable (cf. cause_principale='effectif'),effectif,True,False,False,True,-10.21,9.88,0.868,False
pc_portables,ASUS,Premium,c2,1,2,20,20,0.87,0.0,0.0,0.0,0.87,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-3.94,5.73,0.694,False
pc_portables,ASUS,Premium,c2,2,3,20,18,-0.96,1.25,1.14,0.89,-2.21,Effectif du cluster modifié (20 → 18 produits) — lecture prix/qualité non isolable (cf. cause_principale='effectif'),effectif,True,False,False,True,-6.84,2.58,0.358,False
pc_portables,ASUS,Premium,c2,3,4,18,18,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-4.87,4.52,0.994,False
pc_portables,ASUS,Premium,c3,1,2,10,10,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-27.82,24.69,0.998,False
pc_portables,ASUS,Premium,c3,2,3,10,9,3.48,6.46,5.78,1.7,-2.98,Effectif du cluster modifié (10 → 9 produits) — lecture prix/qualité non isolable (cf. cause_principale='effectif'),effectif,True,False,False,True,-33.1,23.82,0.928,False
pc_portables,ASUS,Premium,c3,3,4,9,9,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-30.1,24.77,0.98,False
pc_portables,ASUS,Économique,c0,1,2,17,15,0.51,-0.03,-0.05,0.55,0.54,Effectif du cluster modifié (17 → 15 produits) — lecture prix/qualité non isolable (cf. cause_principale='effectif'),effectif,True,False,False,True,-2.96,4.42,0.724,False
pc_portables,ASUS,Économique,c0,2,3,15,15,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-3.8,4.01,0.97,False
pc_portables,ASUS,Économique,c0,3,4,15,15,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-3.8,4.07,0.996,False
pc_portables,ASUS,Économique,c1,1,2,14,13,0.06,0.38,0.31,1.13,-0.32,Effectif du cluster modifié (14 → 13 produits) — lecture prix/qualité non isolable (cf. cause_principale='effectif'),effectif,True,False,False,True,-10.31,7.79,0.918,False
pc_portables,ASUS,Économique,c1,2,3,13,12,-0.28,-0.6,-0.4,-1.98,0.32,Effectif du cluster modifié (13 → 12 produits) — lecture prix/qualité non isolable (cf. cause_principale='effectif'),effectif,True,False,False,True,-10.61,9.0,0.914,False
pc_portables,ASUS,Économique,c1,3,4,12,12,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-11.14,9.48,0.972,False
pc_portables,ASUS,Économique,c2,1,2,5,5,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-3.57,4.34,0.976,False
pc_portables,ASUS,Économique,c2,2,3,5,5,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-3.66,4.34,0.958,False
pc_portables,ASUS,Économique,c2,3,4,5,5,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-3.63,4.52,0.956,False
pc_portables,ASUS,Économique,c3,1,2,11,11,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-11.65,9.74,0.998,False
pc_portables,ASUS,Économique,c3,2,3,11,10,-1.06,-1.45,-1.19,-1.3,0.39,Effectif du cluster modifié (11 → 10 produits) — lecture prix/qualité non isolable (cf. cause_principale='effectif'),effectif,True,False,False,True,-13.22,11.01,0.894,False
pc_portables,ASUS,Économique,c3,3,4,10,10,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-13.3,11.0,0.948,False
pc_portables,CHUWI,Gamme unique,c0,1,2,6,6,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-34.42,31.12,0.984,False
pc_portables,CHUWI,Gamme unique,c0,2,3,6,6,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-40.56,31.07,0.93,False
pc_portables,CHUWI,Gamme unique,c0,3,4,6,6,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-35.59,31.12,0.998,False
pc_portables,DELL,Milieu de gamme,c0,1,2,6,6,-8.65,0.0,0.0,0.0,-8.65,Baisse de prix non liée aux caractéristiques (promotion / remise réelle),prix,True,False,True,True,-30.77,6.65,0.296,False
pc_portables,DELL,Milieu de gamme,c0,2,3,6,5,-0.58,-0.75,-0.49,-2.63,0.17,Effectif du cluster modifié (6 → 5 produits) — lecture prix/qualité non isolable (cf. cause_principale='effectif'),effectif,True,False,False,True,-17.06,12.63,0.988,False
pc_portables,DELL,Milieu de gamme,c0,3,4,5,5,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-18.07,13.66,0.94,False
pc_portables,DELL,Milieu de gamme,c1,1,2,20,19,-0.59,-0.55,-0.51,-0.03,-0.04,Effectif du cluster modifié (20 → 19 produits) — lecture prix/qualité non isolable (cf. cause_principale='effectif'),effectif,True,False,False,True,-4.92,4.68,0.97,False
pc_portables,DELL,Milieu de gamme,c1,2,3,19,18,1.05,0.15,0.11,0.05,0.9,Effectif du cluster modifié (19 → 18 produits) — lecture prix/qualité non isolable (cf. cause_principale='effectif'),effectif,True,False,False,True,-3.84,5.69,0.712,False
pc_portables,DELL,Milieu de gamme,c1,3,4,18,18,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-4.38,4.84,0.982,False
pc_portables,DELL,Premium,c0,1,2,16,16,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-16.85,11.82,0.99,False
pc_portables,DELL,Premium,c0,2,3,16,16,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-17.99,12.15,0.992,False
pc_portables,DELL,Premium,c0,3,4,16,16,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-16.22,11.43,0.98,False
pc_portables,DELL,Premium,c1,1,2,8,8,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-26.59,18.92,0.99,False
pc_portables,DELL,Premium,c1,2,3,8,8,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-27.17,22.4,0.984,False
pc_portables,DELL,Premium,c1,3,4,8,8,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-29.03,20.63,0.974,False
pc_portables,DELL,Économique,c0,1,2,7,7,-1.5,0.0,0.0,0.0,-1.5,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-6.48,2.77,0.562,False
pc_portables,DELL,Économique,c0,2,3,7,7,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-5.61,5.44,0.984,False
pc_portables,DELL,Économique,c0,3,4,7,7,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-5.73,5.38,0.97,False
