categorie,marque,gamme,cluster,semaine,moyenne_geometrique,moyenne_estimee_ridge,moyenne_estimee_hedonic,moyenne_estimee_rf,erreur_ridge_pct,erreur_hedonic_pct,erreur_rf_pct,n_produits,source_ridge,source_hedonic,source_rf
pc_bureau,MSI,Économique,c0,3,3132.28,3127.07,3133.14,3121.17,-0.17,0.03,-0.35,15,n2,n2,n2
pc_bureau,MSI,Économique,c0,4,3132.28,3127.07,3133.14,3121.17,-0.17,0.03,-0.35,15,n2,n2,n2
pc_bureau,MSI,Économique,c1,1,2786.52,2724.96,3275.55,2747.29,-2.21,17.55,-1.41,15,n2,n1,n2
pc_bureau,MSI,Économique,c1,2,2796.85,2729.83,3332.58,2776.71,-2.4,19.15,-0.72,14,n2,n1,n2
pc_bureau,MSI,Économique,c1,3,2919.4,2742.04,3479.55,2851.64,-6.08,19.19,-2.32,12,n2,n1,n2
pc_bureau,MSI,Économique,c1,4,2919.4,2742.04,3479.55,2851.64,-6.08,19.19,-2.32,12,n2,n1,n2
pc_bureau,MYTEK,Milieu de gamme,c0,1,2981.41,2984.28,2978.84,2607.16,0.1,-0.09,-12.55,18,n2,n2,n1
pc_bureau,MYTEK,Milieu de gamme,c0,2,2991.25,2984.75,2986.22,2642.08,-0.22,-0.17,-11.67,17,n2,n2,n1
pc_bureau,MYTEK,Milieu de gamme,c0,3,2991.25,2984.75,2986.22,2642.08,-0.22,-0.17,-11.67,17,n2,n2,n1
pc_bureau,MYTEK,Milieu de gamme,c0,4,2970.9,2984.75,2986.22,2642.08,0.47,0.52,-11.07,17,n2,n2,n1
pc_bureau,MYTEK,Premium,c0,1,6668.22,4964.18,5206.82,6448.03,-25.55,-21.92,-3.3,8,n1,categorie,n1
pc_bureau,MYTEK,Premium,c0,2,6668.22,4964.18,5206.82,6448.03,-25.55,-21.92,-3.3,8,n1,categorie,n1
pc_bureau,MYTEK,Premium,c0,3,6668.22,4964.18,5206.82,6448.03,-25.55,-21.92,-3.3,8,n1,categorie,n1
pc_bureau,MYTEK,Premium,c0,4,6847.33,4941.74,5059.93,6591.03,-27.83,-26.1,-3.74,7,categorie,categorie,categorie
pc_bureau,MYTEK,Premium,c1,1,4886.61,4215.9,4238.81,4633.07,-13.73,-13.26,-5.19,10,n1,categorie,n1
pc_bureau,MYTEK,Premium,c1,2,4886.61,4215.9,4238.81,4633.07,-13.73,-13.26,-5.19,10,n1,categorie,n1
pc_bureau,MYTEK,Premium,c1,3,4886.61,4215.9,4238.81,4633.07,-13.73,-13.26,-5.19,10,n1,categorie,n1
pc_bureau,MYTEK,Premium,c1,4,4886.61,4215.9,4238.81,4633.07,-13.73,-13.26,-5.19,10,n1,categorie,n1
pc_bureau,MYTEK,Économique,c0,1,1829.73,2274.22,2067.42,2077.06,24.29,12.99,13.52,9,n1,n1,n1
pc_bureau,MYTEK,Économique,c0,2,1829.73,2274.22,2067.42,2077.06,24.29,12.99,13.52,9,n1,n1,n1
pc_bureau,MYTEK,Économique,c0,3,1829.73,2274.22,2067.42,2077.06,24.29,12.99,13.52,9,n1,n1,n1
pc_bureau,MYTEK,Économique,c0,4,1829.73,2274.22,2067.42,2077.06,24.29,12.99,13.52,9,n1,n1,n1
pc_bureau,MYTEK,Économique,c1,1,1326.25,1427.15,1947.87,1413.67,7.61,46.87,6.59,10,n2,n1,n2
pc_bureau,MYTEK,Économique,c1,2,1326.25,1427.15,1947.87,1413.67,7.61,46.87,6.59,10,n2,n1,n2
pc_bureau,MYTEK,Économique,c1,3,1326.25,1427.15,1947.87,1413.67,7.61,46.87,6.59,10,n2,n1,n2
pc_bureau,MYTEK,Économique,c1,4,1298.73,1426.87,1914.72,1431.71,9.87,47.43,10.24,6,n2,n1,n2
pc_portables,ASUS,Milieu de gamme,c0,1,2819.12,2803.11,2695.19,2791.67,-0.57,-4.4,-0.97,38,n2,n1,n2
pc_portables,ASUS,Milieu de gamme,c0,2,2819.12,2816.41,2731.09,2813.56,-0.1,-3.12,-0.2,38,n2,n1,n2
pc_portables,ASUS,Milieu de gamme,c0,3,2828.32,2829.17,2760.36,2840.6,0.03,-2.4,0.43,37,n2,n1,n2
pc_portables,ASUS,Milieu de gamme,c0,4,2828.32,2829.17,2760.36,2840.6,0.03,-2.4,0.43,37,n2,n1,n2
pc_portables,ASUS,Milieu de gamme,c1,1,3015.05,2527.81,2447.46,2499.02,-16.16,-18.83,-17.12,8,n1,n1,categorie
pc_portables,ASUS,Milieu de gamme,c1,2,3015.05,2527.81,2447.46,2499.02,-16.16,-18.83,-17.12,8,n1,n1,categorie
pc_portables,ASUS,Milieu de gamme,c1,3,3015.05,2574.87,2463.62,2502.13,-14.6,-18.29,-17.01,8,n1,n1,categorie
pc_portables,ASUS,Milieu de gamme,c1,4,3010.43,2574.87,2463.62,2502.13,-14.47,-18.16,-16.88,8,n1,n1,categorie
pc_portables,ASUS,Premium,c0,1,4594.91,4610.18,3551.99,4573.65,0.33,-22.7,-0.46,8,n2,n1,n2
pc_portables,ASUS,Premium,c0,2,4594.91,4610.18,3551.99,4573.65,0.33,-22.7,-0.46,8,n2,n1,n2
pc_portables,ASUS,Premium,c0,3,4579.72,4610.18,3551.99,4573.65,0.67,-22.44,-0.13,8,n2,n1,n2
pc_portables,ASUS,Premium,c0,4,4577.07,4610.18,3551.99,4573.65,0.72,-22.4,-0.07,8,n2,n1,n2
pc_portables,ASUS,Premium,c1,1,3928.14,3370.3,3394.58,3710.26,-14.2,-13.58,-5.55,9,n1,n1,n1
pc_portables,ASUS,Premium,c1,2,3928.14,3557.83,3589.62,3757.55,-9.43,-8.62,-4.34,9,n1,n1,n1
pc_portables,ASUS,Premium,c1,3,3928.14,3688.61,3725.84,3773.45,-6.1,-5.15,-3.94,9,n1,n1,n1
pc_portables,ASUS,Premium,c1,4,3916.93,3659.04,3695.24,3743.17,-6.58,-5.66,-4.44,8,n1,n1,n1
pc_portables,ASUS,Premium,c2,1,4725.91,4724.12,4738.64,4719.15,-0.04,0.27,-0.14,20,n2,n2,n2
pc_portables,ASUS,Premium,c2,2,4767.2,4724.12,4738.64,4719.15,-0.9,-0.6,-1.01,20,n2,n2,n2
pc_portables,ASUS,Premium,c2,3,4721.57,4778.09,4798.0,4761.01,1.2,1.62,0.84,18,n2,n2,n2
pc_portables,ASUS,Premium,c2,4,4721.57,4778.09,4798.0,4761.01,1.2,1.62,0.84,18,n2,n2,n2
pc_portables,ASUS,Premium,c3,1,5102.65,4613.04,4797.52,4931.84,-9.6,-5.98,-3.35,10,n1,n1,n1
pc_portables,ASUS,Premium,c3,2,5102.65,4613.04,4797.52,4931.84,-9.6,-5.98,-3.35,10,n1,n1,n1
pc_portables,ASUS,Premium,c3,3,5280.45,4879.74,5107.43,5015.83,-7.59,-3.28,-5.01,9,n1,n1,categorie
pc_portables,ASUS,Premium,c3,4,5280.45,4879.74,5107.43,5015.83,-7.59,-3.28,-5.01,9,n1,n1,categorie
pc_portables,ASUS,Économique,c0,1,1999.33,2012.44,2020.29,2012.44,0.66,1.05,0.66,17,n2,n2,n2
pc_portables,ASUS,Économique,c0,2,2009.46,2011.5,2019.64,2023.5,0.1,0.51,0.7,15,n2,n2,n2
pc_portables,ASUS,Économique,c0,3,2009.46,2011.5,2019.64,2023.5,0.1,0.51,0.7,15,n2,n2,n2
pc_portables,ASUS,Économique,c0,4,2009.46,2011.5,2019.64,2023.5,0.1,0.51,0.7,15,n2,n2,n2
pc_portables,ASUS,Économique,c1,1,1834.31,2417.98,2246.11,2097.86,31.82,22.45,14.37,14,n1,n1,categorie
pc_portables,ASUS,Économique,c1,2,1835.5,2425.48,2254.65,2121.54,32.14,22.84,15.58,13,n1,n1,categorie
pc_portables,ASUS,Économique,c1,3,1830.3,2415.77,2241.03,2079.48,31.99,22.44,13.61,12,n1,n1,categorie
