categorie,approche,cluster,marque,gamme_prix,semaine,n_produits,prix_geometrique_tnd
pc_bureau,N2_marque_gamme,MYTEK::Économique::c2,MYTEK,Économique,1,5,1871.7
pc_bureau,N2_marque_gamme,MYTEK::Économique::c2,MYTEK,Économique,2,5,1871.7
pc_bureau,N2_marque_gamme,MYTEK::Économique::c2,MYTEK,Économique,3,6,1859.38
pc_bureau,N2_marque_gamme,MYTEK::Économique::c2,MYTEK,Économique,4,5,1871.7
pc_portables,N1_technique,c0,,,1,192,2990.71
pc_portables,N1_technique,c0,,,2,211,3047.16
pc_portables,N1_technique,c0,,,3,197,3084.07
pc_portables,N1_technique,c0,,,4,208,3057.42
pc_portables,N1_technique,c1,,,1,159,2740.13
pc_portables,N1_technique,c1,,,2,161,2748.56
pc_portables,N1_technique,c1,,,3,152,2759.45
pc_portables,N1_technique,c1,,,4,152,2747.34
pc_portables,N1_technique,c2,,,1,143,3552.34
pc_portables,N1_technique,c2,,,2,148,3540.74
pc_portables,N1_technique,c2,,,3,143,3544.54
pc_portables,N1_technique,c2,,,4,143,3536.55
pc_portables,N1_technique,c3,,,1,34,1682.88
pc_portables,N1_technique,c3,,,2,38,1683.23
pc_portables,N1_technique,c3,,,3,37,1686.73
pc_portables,N1_technique,c3,,,4,37,1686.4
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c0,ASUS,Milieu de gamme,1,7,3024.42
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c0,ASUS,Milieu de gamme,2,7,3024.42
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c0,ASUS,Milieu de gamme,3,6,3122.15
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c0,ASUS,Milieu de gamme,4,7,3109.55
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c1,ASUS,Milieu de gamme,1,10,2735.56
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c1,ASUS,Milieu de gamme,2,10,2735.56
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c1,ASUS,Milieu de gamme,3,10,2735.56
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c1,ASUS,Milieu de gamme,4,11,2742.69
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c2,ASUS,Milieu de gamme,1,11,2952.6
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c2,ASUS,Milieu de gamme,2,8,2833.6
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c2,ASUS,Milieu de gamme,3,4,2697.15
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c2,ASUS,Milieu de gamme,4,4,2697.15
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c3,ASUS,Milieu de gamme,2,3,3294.95
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c3,ASUS,Milieu de gamme,3,8,3070.89
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c3,ASUS,Milieu de gamme,4,7,3109.29
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c4,ASUS,Milieu de gamme,1,5,2843.34
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c4,ASUS,Milieu de gamme,2,5,2843.34
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c4,ASUS,Milieu de gamme,3,5,2843.34
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c4,ASUS,Milieu de gamme,4,5,2843.34
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c5,ASUS,Milieu de gamme,1,8,3129.07
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c5,ASUS,Milieu de gamme,2,8,3129.07
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c5,ASUS,Milieu de gamme,3,8,3129.07
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c5,ASUS,Milieu de gamme,4,8,3124.27
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c6,ASUS,Milieu de gamme,1,5,2697.64
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c6,ASUS,Milieu de gamme,2,5,2697.64
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c6,ASUS,Milieu de gamme,3,5,2697.64
pc_portables,N2_marque_gamme,ASUS::Milieu de gamme::c6,ASUS,Milieu de gamme,4,5,2697.64
pc_portables,N2_marque_gamme,ASUS::Premium::c0,ASUS,Premium,1,12,4458.07
pc_portables,N2_marque_gamme,ASUS::Premium::c0,ASUS,Premium,2,12,4523.17
