segment_col,segment,famille,n_lignes,n_produits_distincts,n_predicteurs,n_min_requis,ajuste,raison_rejet,n_test,r2_test,rmse_tnd_test,r2_test_categorie,rmse_tnd_test_categorie,comparaison_possible,retenu_pour_prediction
cluster_id,LENOVO::Économique::c1,ridge,55,16,6,30,True,,8,-1.5021,102.46,-22.8232,354.97,True,True
cluster_id,LENOVO::Économique::c1,random_forest,55,16,6,30,True,,8,-1.6008,104.55,-18.2994,313.96,True,True
cluster_id,LENOVO::Économique::c2,hedonic_ols,27,8,6,60,False,n_lignes=27 < n_min_requis=60 (ratio=10),12,,,,,False,False
cluster_id,LENOVO::Économique::c2,ridge,27,8,6,30,False,n_lignes=27 < n_min_requis=30 (ratio=5),12,,,,,False,False
cluster_id,LENOVO::Économique::c2,random_forest,27,8,6,30,False,n_lignes=27 < n_min_requis=30 (ratio=5),12,,,,,False,False
cluster_id,LENOVO::Économique::c3,hedonic_ols,16,4,6,60,False,n_lignes=16 < n_min_requis=60 (ratio=10),4,,,,,False,False
cluster_id,LENOVO::Économique::c3,ridge,16,4,6,30,False,n_lignes=16 < n_min_requis=30 (ratio=5),4,,,,,False,False
cluster_id,LENOVO::Économique::c3,random_forest,16,4,6,30,False,n_lignes=16 < n_min_requis=30 (ratio=5),4,,,,,False,False
cluster_id,MSI::Milieu de gamme::c0,hedonic_ols,20,5,4,40,False,n_lignes=20 < n_min_requis=40 (ratio=10),4,,,,,False,False
cluster_id,MSI::Milieu de gamme::c0,ridge,20,5,4,20,True,,4,-0.8767,221.92,-21.8886,687.56,True,True
cluster_id,MSI::Milieu de gamme::c0,random_forest,20,5,4,20,True,,4,-0.1524,174.72,-6.9493,430.29,True,True
cluster_id,MSI::Milieu de gamme::c1,hedonic_ols,36,9,5,50,False,n_lignes=36 < n_min_requis=50 (ratio=10),4,,,,,False,False
cluster_id,MSI::Milieu de gamme::c1,ridge,36,9,5,25,True,,4,-0.5905,205.98,-35.202,843.66,True,True
cluster_id,MSI::Milieu de gamme::c1,random_forest,36,9,5,25,True,,4,-0.4324,196.08,-14.3722,581.18,True,True
cluster_id,MSI::Milieu de gamme::c2,hedonic_ols,13,4,4,40,False,n_lignes=13 < n_min_requis=40 (ratio=10),4,,,,,False,False
cluster_id,MSI::Milieu de gamme::c2,ridge,13,4,4,20,False,n_lignes=13 < n_min_requis=20 (ratio=5),4,,,,,False,False
cluster_id,MSI::Milieu de gamme::c2,random_forest,13,4,4,20,False,n_lignes=13 < n_min_requis=20 (ratio=5),4,,,,,False,False
cluster_id,MSI::Premium::c0,hedonic_ols,68,17,8,80,False,n_lignes=68 < n_min_requis=80 (ratio=10),20,,,,,False,False
cluster_id,MSI::Premium::c0,ridge,68,17,8,40,True,,20,-8.5354,712.09,-211.1385,2255.33,True,True
cluster_id,MSI::Premium::c0,random_forest,68,17,8,40,True,,20,0.104,200.33,-63.2042,1428.49,True,True
cluster_id,MSI::Économique::c0,hedonic_ols,20,8,4,40,False,n_lignes=20 < n_min_requis=40 (ratio=10),8,,,,,False,False
cluster_id,MSI::Économique::c0,ridge,20,8,4,20,True,,8,-0.0153,320.38,-0.0001,321.15,True,False
cluster_id,MSI::Économique::c0,random_forest,20,8,4,20,True,,8,-0.2629,351.6,-1.3385,483.5,True,True
cluster_id,MSI::Économique::c1,hedonic_ols,24,6,4,40,False,n_lignes=24 < n_min_requis=40 (ratio=10),4,,,,,False,False
cluster_id,MSI::Économique::c1,ridge,24,6,4,20,True,,4,0.0,109.77,0.0,54.43,True,False
cluster_id,MSI::Économique::c1,random_forest,24,6,4,20,True,,4,0.0,67.73,0.0,112.06,True,False
cluster_id,MSI::Économique::c2,hedonic_ols,21,6,5,50,False,n_lignes=21 < n_min_requis=50 (ratio=10),4,,,,,False,False
cluster_id,MSI::Économique::c2,ridge,21,6,5,25,False,n_lignes=21 < n_min_requis=25 (ratio=5),4,,,,,False,False
cluster_id,MSI::Économique::c2,random_forest,21,6,5,25,False,n_lignes=21 < n_min_requis=25 (ratio=5),4,,,,,False,False
