url,prix_tnd,nom,marque,ram_go,stockage_go,taille_ecran,cpu_brand,cpu_serie,os_platform,semaine,cluster_direct,gamme_prix,cluster_id
https://www.mytek.tn/pc-portable-asus-expertbook-p1503-i7-13e-gen-8g-512g-ssd-gris.html,2139.0,PC Portable ASUS ExpertBook P1503 i7 13è Gén 8G 512G SSD - Gris,ASUS,8.0,512.0,15.6,Intel,7.0,Windows 11 Pro,1,0,Économique,ASUS::Économique::c3
https://www.mytek.tn/pc-portable-asus-vivobook-15-m1502ya-amd-ryzen7-24go-512g-ssd-silver.html,2159.0,PC Portable ASUS Vivobook 15 M1502YA AMD RYZEN7 24Go 512G SSD - Silver,ASUS,24.0,512.0,15.6,AMD,0.0,Windows 11 Famille,1,1,Économique,ASUS::Économique::c1
https://www.mytek.tn/pc-portable-asus-vivobook-15-m1502ya-amd-ryzen7-24go-512g-ssd-bleu.html,2159.0,PC Portable ASUS Vivobook 15 M1502YA AMD RYZEN7 24Go 512G SSD - Bleu,ASUS,24.0,512.0,15.6,AMD,0.0,Windows 11 Famille,1,1,Économique,ASUS::Économique::c1
https://www.mytek.tn/pc-portable-asus-vivobook-15-x1502va-i9-13e-gen-8go-512go-ssd-bleu.html,2199.0,PC Portable ASUS Vivobook 15 X1502VA i9 13è Gén 8Go 512Go SSD - Bleu,ASUS,8.0,512.0,15.6,Intel,9.0,Windows 11 Famille,1,0,Économique,ASUS::Économique::c3
https://www.mytek.tn/pc-portable-asus-vivobook-15-x1502va-i9-13e-gen-8g-512go-ssd-silver.html,2199.0,PC Portable ASUS Vivobook 15 X1502VA i9 13è Gén 8G 512Go SSD - Silver,ASUS,8.0,512.0,15.6,Intel,9.0,Windows 11 Famille,1,0,Économique,ASUS::Économique::c3
https://www.mytek.tn/pc-portable-asus-expertbook-p1503-i5-13e-gen-16g-512go-ssd-gris.html,2199.0,PC Portable ASUS ExpertBook P1503 i5 13è Gén 16G 512Go SSD - Gris,ASUS,16.0,512.0,15.6,Intel,5.0,FreeDos,1,0,Économique,ASUS::Économique::c2
https://www.mytek.tn/pc-portable-asus-vivobook-15-x1504va-intel-core-7-150u-8go-512go-ssd-silver.html,2199.0,PC Portable ASUS Vivobook 15 X1504VA Intel Core 7 150U 8Go 512Go SSD - Silver,ASUS,8.0,512.0,15.6,Intel,7.0,Windows 11 Famille,1,0,Économique,ASUS::Économique::c3
https://www.mytek.tn/pc-portable-asus-vivobook-15-oled-x1505va-i5-13e-gen-8g-512g-ssd-silver.html,2239.0,PC Portable ASUS Vivobook 15 OLED X1505VA i5 13è Gén 8G 512G SSD - Silver,ASUS,8.0,512.0,15.6,Intel,5.0,Windows 11 Famille,1,0,Économique,ASUS::Économique::c0
https://www.mytek.tn/pc-portable-asus-expertbook-p1503-i5-13eme-gen-16g-512go-ssd-gris.html,2259.0,PC Portable ASUS ExpertBook P1503 i5 13ème Gén 16G 512Go SSD - Gris,ASUS,16.0,512.0,15.6,Intel,5.0,FreeDos,1,0,Économique,ASUS::Économique::c2
https://www.mytek.tn/pc-portable-asus-vivobook-15-x1502va-i5-13e-gen-24g-512g-ssd-bleu.html,2269.0,PC Portable ASUS Vivobook 15 X1502VA i5 13è Gén 24G 512G SSD - Bleu,ASUS,24.0,512.0,15.6,Intel,5.0,Windows 11 Famille,1,0,Économique,ASUS::Économique::c0
https://www.mytek.tn/pc-portable-asus-vivobook-15-x1502va-i5-13e-gen-24g-512g-ssd-silver.html,2269.0,PC Portable ASUS Vivobook 15 X1502VA i5 13è Gén 24G 512G SSD - Silver,ASUS,24.0,512.0,15.6,Intel,5.0,Windows 11 Famille,1,0,Économique,ASUS::Économique::c0
https://www.mytek.tn/pc-portable-asus-vivobook-15-x1504va-intel-core-5-120u-16g-512g-ssd-silver.html,2295.0,PC Portable ASUS Vivobook 15 X1504VA Intel Core 5 120U 16G 512G SSD - Silver,ASUS,16.0,512.0,15.6,Intel,5.0,Windows 11 Famille,1,0,Économique,ASUS::Économique::c0
https://www.mytek.tn/pc-portable-asus-vivobook-15-x1502va-i7-13e-gen-16g-512g-ssd-silver.html,2329.0,PC Portable ASUS Vivobook 15 X1502VA i7 13è Gén 16G 512G SSD - Silver,ASUS,16.0,512.0,15.6,Intel,7.0,Windows 11 Famille,1,0,Économique,ASUS::Économique::c3
https://www.mytek.tn/pc-portable-asus-vivobook-15-x1502va-i7-13e-gen-16g-512g-ssd-bleu.html,2329.0,PC Portable ASUS Vivobook 15 X1502VA i7 13è Gén 16G 512G SSD - Bleu,ASUS,16.0,512.0,15.6,Intel,7.0,Windows 11 Famille,1,0,Économique,ASUS::Économique::c3
https://www.mytek.tn/pc-portable-gamer-asus-vivobook-16x-i5-13e-gen-8go-rtx3050.html,2339.0,PC Portable Gamer ASUS Vivobook 16X i5 13è Gén 8Go RTX3050,ASUS,8.0,512.0,16.0,Intel,5.0,Windows 11 Famille,1,0,Économique,ASUS::Économique::c0
https://www.mytek.tn/pc-portable-gamer-asus-vivobook-16x-i5-13e-gen-8go-rtx-3050.html,2339.0,PC Portable Gamer ASUS Vivobook 16X i5 13è Gén 8Go RTX 3050,ASUS,8.0,512.0,16.0,Intel,5.0,Windows 11 Famille,1,0,Économique,ASUS::Économique::c0
https://www.mytek.tn/pc-portable-gamer-asus-vivobook-16x-i5-13e-gen-8g-rtx3050.html,2389.0,PC Portable Gamer ASUS Vivobook 16X i5 13è Gén 8G RTX3050,ASUS,8.0,512.0,16.0,Intel,5.0,Windows 11 Pro,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-gamer-asus-vivobook-16x-i5-13e-gen-8g-rtx-3050.html,2389.0,PC Portable Gamer ASUS Vivobook 16X i5 13è Gén 8G RTX 3050,ASUS,8.0,512.0,16.0,Intel,5.0,Windows 11 Pro,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-asus-vivobook-15-x1502va-i7-13e-gen-8g-512go-ssd-silver.html,2399.0,PC Portable ASUS Vivobook 15 X1502VA i7 13è Gén 8G 512Go SSD - Silver,ASUS,8.0,512.0,15.6,Intel,7.0,Windows 11 Famille,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-asus-vivobook-15-oled-x1505va-i5-13e-gen-16g-512g-ssd-silver.html,2399.0,PC Portable ASUS Vivobook 15 OLED X1505VA i5 13è Gén 16G 512G SSD - Silver,ASUS,16.0,512.0,15.6,Intel,5.0,Windows 11 Famille,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-asus-vivobook-16-snapdragonr-x-x1-26-100-16g-512g-ssd-silver.html,2439.0,PC Portable ASUS Vivobook 16 Snapdragon® X X1 26 100 16G 512G SSD - Silver,ASUS,16.0,512.0,16.0,Qualcomm,0.0,Windows 11 Famille,1,1,Milieu de gamme,ASUS::Milieu de gamme::c1
https://www.mytek.tn/pc-portable-gamer-asus-vivobook-16x-i5-13e-gen-12go-rtx-3050.html,2445.0,PC Portable Gamer ASUS Vivobook 16X i5 13è Gén 12Go RTX 3050,ASUS,12.0,512.0,16.0,Intel,5.0,Windows 11 Famille,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-gamer-asus-tuf-gaming-a15-amd-ryzen-5-8go-rtx-2050.html,2459.0,PC Portable Gamer ASUS TUF Gaming A15 AMD RYZEN 5 8Go RTX 2050,ASUS,8.0,512.0,15.6,AMD,5.0,Windows 11 Famille,1,1,Milieu de gamme,ASUS::Milieu de gamme::c1
https://www.mytek.tn/pc-portable-asus-expertbook-p1503-i7-13e-gen-16go-512g-ssd-gris.html,2499.0,PC Portable ASUS ExpertBook P1503 i7 13è Gén 16Go 512G SSD - Gris,ASUS,16.0,512.0,15.6,Intel,7.0,FreeDos,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-gamer-asus-vivobook-16x-i5-13e-gen-16go-rtx3050.html,2549.0,PC Portable Gamer ASUS Vivobook 16X i5 13è Gén 16Go RTX3050,ASUS,16.0,512.0,16.0,Intel,5.0,Windows 11 Famille,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-gamer-asus-vivobook-16x-i5-13e-gen-16go-rtx-3050.html,2549.0,PC Portable Gamer ASUS Vivobook 16X i5 13è Gén 16Go RTX 3050,ASUS,16.0,512.0,16.0,Intel,5.0,Windows 11 Famille,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
