cle_produit,categorie,marque,gamme,cluster_segmentation
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-5g-8go-256go-couleur-glacier-blue.html,smartphones,XIAOMI,Premium,0
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-5g-8go-256go-couleur-violet-lavande.html,smartphones,XIAOMI,Premium,0
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-pro-5g-8go-256go-noir.html,smartphones,XIAOMI,Premium,1
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-pro-5g-8go-256go-glacier-blue.html,smartphones,XIAOMI,Premium,1
https://www.mytek.tn/smartphone-xiaomi-redmi-note-14-pro-plus-5g-8go-256go-bleu-givre.html,smartphones,XIAOMI,Premium,0
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-pro-plus-5g-8go-256go-glacier-bleu.html,smartphones,XIAOMI,Premium,1
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-pro-plus-5g-8go-256go-mocha-brown.html,smartphones,XIAOMI,Premium,1
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-pro-8go-256go-5g-noir.html,smartphones,XIAOMI,Premium,1
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-pro-plus-5g-12go-512go-noir.html,smartphones,XIAOMI,Premium,1
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-pro-plus-5g-12go-512go-glacier-bleu.html,smartphones,XIAOMI,Premium,1
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-pro-plus-5g-12go-512go-moka-brown.html,smartphones,XIAOMI,Premium,1
https://www.mytek.tn/smartphone-honor-x5c-4go-64go-bleu.html,smartphones,HONOR,Économique,profil_descriptif
https://www.mytek.tn/smartphone-honor-x5b-plus-4go-128go-bleu.html,smartphones,HONOR,Économique,profil_descriptif
https://www.mytek.tn/smartphone-honor-x5c-plus-4g-4go-128go-ocean-cyan.html,smartphones,HONOR,Économique,profil_descriptif
https://www.mytek.tn/smartphone-honor-x5c-plus-4g-128go-4go-midnight-black.html,smartphones,HONOR,Économique,profil_descriptif
https://www.mytek.tn/smartphone-honor-x6c-12go-128go-4g-cyan.html,smartphones,HONOR,Économique,profil_descriptif
https://www.mytek.tn/smartphone-honor-x6c-12go-256go-4g-cyan.html,smartphones,HONOR,Économique,profil_descriptif
https://www.mytek.tn/smartphone-honor-x6c-12go-256go-4g-blanc.html,smartphones,HONOR,Économique,profil_descriptif
https://www.mytek.tn/smartphone-honor-x7d-5g-6go-128go-desert-gold.html,smartphones,HONOR,Économique,profil_descriptif
https://www.mytek.tn/smartphone-honor-x7d-5g-6go-128go-meteor-silver.html,smartphones,HONOR,Économique,profil_descriptif
https://www.mytek.tn/smartphone-honor-x7d-5g-6go-128go-velvet-black.html,smartphones,HONOR,Économique,profil_descriptif
https://www.mytek.tn/smartphone-honor-x7d-5g-8go-256go-desert-gold.html,smartphones,HONOR,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-honor-x7d-5g-8go-256go-meteor-silver.html,smartphones,HONOR,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-honor-x7d-5g-8go-256go-velvet-black.html,smartphones,HONOR,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-honor-x7d-4g-8go-256go-velvet-black.html,smartphones,HONOR,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-honor-x7d-4g-8go-256go-meteor-silver.html,smartphones,HONOR,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-honor-x7d-4g-8go-256go-desert-gold.html,smartphones,HONOR,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-honor-400-lite-5g-8go-256go-gris.html,smartphones,HONOR,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-honor-x8d-4g-8go-256go-velvet-noir.html,smartphones,HONOR,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-honor-x8d-4g-8go-256go-velvet-vert.html,smartphones,HONOR,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-honor-x8d-4g-8go-256go-bleu-clair.html,smartphones,HONOR,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-honor-x9b-5g-12go-256go-orange.html,smartphones,HONOR,Premium,profil_descriptif
https://www.mytek.tn/smartphone-honor-600-lite-5g-8go-256go-noir.html,smartphones,HONOR,Premium,profil_descriptif
https://www.mytek.tn/smartphone-honor-600-lite-5g-8go-256go-vert.html,smartphones,HONOR,Premium,profil_descriptif
https://www.mytek.tn/smartphone-honor-600-lite-5g-8go-256go-gris.html,smartphones,HONOR,Premium,profil_descriptif
https://www.mytek.tn/smartphone-honor-x9d-5g-12go-256go-marron-rougeatre.html,smartphones,HONOR,Premium,profil_descriptif
https://www.mytek.tn/smartphone-honor-x9d-5g-12go-256go-noir-de-minuit.html,smartphones,HONOR,Premium,profil_descriptif
https://www.mytek.tn/smartphone-honor-x9d-5g-12go-256go-gold.html,smartphones,HONOR,Premium,profil_descriptif
https://www.mytek.tn/smartphone-honor-600-5g-256go-12go-orange.html,smartphones,HONOR,Premium,profil_descriptif
https://www.mytek.tn/smartphone-honor-600-5g-256go-12go-golden-white.html,smartphones,HONOR,Premium,profil_descriptif
https://www.mytek.tn/smartphone-honor-600-5g-256go-12go-noir.html,smartphones,HONOR,Premium,profil_descriptif
https://www.mytek.tn/smartphone-vivo-y04-4go-64go-or-titane.html,smartphones,VIVO,Économique,profil_descriptif
https://www.mytek.tn/smartphone-vivo-y04-4go-64go-vert-jade.html,smartphones,VIVO,Économique,profil_descriptif
https://www.mytek.tn/smartphone-vivo-y04-4go-128go-vert-jade.html,smartphones,VIVO,Économique,profil_descriptif
https://www.mytek.tn/smartphone-vivo-y04-4go-128go-or-titane.html,smartphones,VIVO,Économique,profil_descriptif
https://www.mytek.tn/smartphone-vivo-y19s-12gb-128gb-silver.html,smartphones,VIVO,Économique,profil_descriptif
https://www.mytek.tn/smartphone-vivo-y19s-12go-128go-noir.html,smartphones,VIVO,Économique,profil_descriptif
https://www.mytek.tn/smartphone-vivo-y21d-6go-128go-rouge-corail.html,smartphones,VIVO,Économique,profil_descriptif
https://www.mytek.tn/smartphone-vivo-y21d-6go-256go-rouge-corail.html,smartphones,VIVO,Économique,profil_descriptif
https://www.mytek.tn/smartphone-vivo-v40-lite-8go-256go-silver-titane.html,smartphones,VIVO,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-vivo-y31d-4g-6go-128go-gris.html,smartphones,VIVO,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-vivo-y31d-4g-6go-128go-6-75-120hz-gold.html,smartphones,VIVO,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-vivo-y31d-4g-8go-128go-120hz-7200mah-gold.html,smartphones,VIVO,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-vivo-y31d-4g-8go-128go-6-75-7200-mah-gris.html,smartphones,VIVO,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-vivo-y31d-4g-8go-256go-7200mah-gris.html,smartphones,VIVO,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-vivo-y31d-4g-8go-256go-120hz-7200mah-gold.html,smartphones,VIVO,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-vivo-y31-5g-16go-256go-noir.html,smartphones,VIVO,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-vivo-y31-5g-16go-256go-violet.html,smartphones,VIVO,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-vivo-v70-fe-5g-8go-256go-ocean-blue.html,smartphones,VIVO,Premium,profil_descriptif
https://www.mytek.tn/smartphone-vivo-v70-fe-5g-8go-256go-titanium-silver.html,smartphones,VIVO,Premium,profil_descriptif
https://www.mytek.tn/smartphone-vivo-v50-5g-12go-256go-bleu.html,smartphones,VIVO,Premium,profil_descriptif
https://www.mytek.tn/smartphone-vivo-v70-fe-5g-12go-256go-titanium-silver.html,smartphones,VIVO,Premium,profil_descriptif
https://www.mytek.tn/smartphone-vivo-v70-fe-5g-12go-256go-ocean-blue.html,smartphones,VIVO,Premium,profil_descriptif
https://www.mytek.tn/smartphone-vivo-v70-5g-12go-512go-grey-dunes.html,smartphones,VIVO,Premium,profil_descriptif
https://www.mytek.tn/smartphone-vivo-v70-5g-12go-512go-brun-mat.html,smartphones,VIVO,Premium,profil_descriptif
https://www.mytek.tn/smartphone-infinix-smart-20-4go-64go-shadow-black.html,smartphones,INFINIX,Économique,profil_descriptif
https://www.mytek.tn/smartphone-infinix-smart-20-4go-64go-sunlike-orange.html,smartphones,INFINIX,Économique,profil_descriptif
