cle_produit,categorie,cluster_direct
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-128go-gris.html,smartphones,1
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-128go-navy.html,smartphones,1
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-128go-lilas.html,smartphones,1
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-256go-light-blue.html,smartphones,1
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-256go-gris.html,smartphones,1
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-256go-navy.html,smartphones,1
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-256go-lilas.html,smartphones,1
https://www.mytek.tn/smartphone-samsung-galaxy-s25-fe-8go-256go-bleu-clair.html,smartphones,2
https://www.mytek.tn/smartphone-samsung-galaxy-s25-fe-8go-256go-bleu-marine.html,smartphones,2
https://www.mytek.tn/smartphone-samsung-galaxy-s25-fe-8go-256go-noir.html,smartphones,2
https://www.mytek.tn/smartphone-samsung-galaxy-s25-fe-8go-256go-blanc.html,smartphones,2
https://www.mytek.tn/smartphone-samsung-galaxy-s25-5g-12go-256go-ice-bleu.html,smartphones,2
https://www.mytek.tn/smartphone-samsung-galaxy-s25-12go-256go-light-green.html,smartphones,2
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-256go-blanc.html,smartphones,2
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-256go-violet-de-cobalt.html,smartphones,2
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-256go-noir.html,smartphones,2
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-256g-bleu-ciel.html,smartphones,2
https://www.mytek.tn/smartphone-samsung-galaxy-s25-ultra-5g-12go-256go-noir-titanium.html,smartphones,2
https://www.mytek.tn/smartphone-samsung-galaxy-s25-ultra-5g-12go-256go-gris-titanium.html,smartphones,2
https://www.mytek.tn/smartphone-samsung-galaxy-s25-ultra-5g-12go-256go-bleu-titanium.html,smartphones,2
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-512go-noir.html,smartphones,2
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-512go-blanc.html,smartphones,2
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-512go-bleu-ciel.html,smartphones,2
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-512go-violet-de-cobalt.html,smartphones,2
https://www.mytek.tn/smartphone-samsung-galaxy-s26-ultra-5g-12go-256go-bleu-ciel.html,smartphones,2
https://www.mytek.tn/smartphone-samsung-galaxy-s26-ultra-5g-12go-256go-blanc.html,smartphones,2
https://www.mytek.tn/smartphone-samsung-galaxy-s26-ultra-5g-12go-256go-noir.html,smartphones,2
https://www.mytek.tn/smartphone-samsung-galaxy-s26-ultra-5g-12go-256go-violet-de-cobalt.html,smartphones,2
https://www.mytek.tn/smartphone-samsung-galaxy-s26-ultra-5g-12go-512go-noir.html,smartphones,2
https://www.mytek.tn/smartphone-samsung-galaxy-s26-ultra-5g-12go-512go-blanc.html,smartphones,2
https://www.mytek.tn/smartphone-samsung-galaxy-s26-ultra-5g-12go-512go-bleu-ciel.html,smartphones,2
https://www.mytek.tn/smartphone-samsung-galaxy-s26-ultra-5g-12go-512go-violet-de-cobalt.html,smartphones,2
https://www.mytek.tn/smartphone-tecno-spark-30c-5g-4go-64go-midnight-shadow.html,smartphones,0
https://www.mytek.tn/smartphone-tecno-spark-30-5g-4-go-128-go-aurora-cloud.html,smartphones,0
https://www.mytek.tn/smartphone-tecno-spark-30-5g-4-go-128-go-midnight-shadow.html,smartphones,0
https://www.mytek.tn/smartphone-tecno-spark-30-5g-4-go-128-go-azure-sky.html,smartphones,0
https://www.mytek.tn/smartphone-tecno-spark-30-5g-6go-128-go-aurora-gold.html,smartphones,2
https://www.mytek.tn/smartphone-tecno-spark-30-5g-6go-128-go-azure-sky.html,smartphones,2
https://www.mytek.tn/smartphone-tekno-digital-uniwa-w555-4go-64go-4g-noir-silver.html,smartphones,0
https://www.mytek.tn/smartphone-vivo-y04-4go-64go-or-titane.html,smartphones,0
https://www.mytek.tn/smartphone-vivo-y04-4go-64go-vert-jade.html,smartphones,0
https://www.mytek.tn/smartphone-vivo-y04-4go-128go-vert-jade.html,smartphones,0
https://www.mytek.tn/smartphone-vivo-y04-4go-128go-or-titane.html,smartphones,0
https://www.mytek.tn/smartphone-vivo-y19s-12gb-128gb-silver.html,smartphones,0
https://www.mytek.tn/smartphone-vivo-y19s-12go-128go-noir.html,smartphones,0
https://www.mytek.tn/smartphone-vivo-y21d-6go-128go-rouge-corail.html,smartphones,0
https://www.mytek.tn/smartphone-vivo-y21d-6go-256go-rouge-corail.html,smartphones,0
https://www.mytek.tn/smartphone-vivo-v40-lite-8go-256go-silver-titane.html,smartphones,0
https://www.mytek.tn/smartphone-vivo-y31d-4g-6go-128go-gris.html,smartphones,0
https://www.mytek.tn/smartphone-vivo-y31d-4g-6go-128go-6-75-120hz-gold.html,smartphones,0
https://www.mytek.tn/smartphone-vivo-y31d-4g-8go-128go-120hz-7200mah-gold.html,smartphones,0
https://www.mytek.tn/smartphone-vivo-y31d-4g-8go-128go-6-75-7200-mah-gris.html,smartphones,0
https://www.mytek.tn/smartphone-vivo-y31d-4g-8go-256go-7200mah-gris.html,smartphones,0
https://www.mytek.tn/smartphone-vivo-y31d-4g-8go-256go-120hz-7200mah-gold.html,smartphones,0
https://www.mytek.tn/smartphone-vivo-y31-5g-16go-256go-noir.html,smartphones,2
https://www.mytek.tn/smartphone-vivo-y31-5g-16go-256go-violet.html,smartphones,2
https://www.mytek.tn/smartphone-vivo-v70-fe-5g-8go-256go-ocean-blue.html,smartphones,2
https://www.mytek.tn/smartphone-vivo-v70-fe-5g-8go-256go-titanium-silver.html,smartphones,2
https://www.mytek.tn/smartphone-vivo-v50-5g-12go-256go-bleu.html,smartphones,2
https://www.mytek.tn/smartphone-vivo-v70-fe-5g-12go-256go-titanium-silver.html,smartphones,2
https://www.mytek.tn/smartphone-vivo-v70-fe-5g-12go-256go-ocean-blue.html,smartphones,2
https://www.mytek.tn/smartphone-vivo-v70-5g-12go-512go-grey-dunes.html,smartphones,2
https://www.mytek.tn/smartphone-vivo-v70-5g-12go-512go-brun-mat.html,smartphones,2
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-4go-128go-noir-de-minuit.html,smartphones,0
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-4go-128go-vert-menthe.html,smartphones,0
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-4go-128go-bleu-moonlight.html,smartphones,0
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-4go-128go-orange-twilight.html,smartphones,0
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-6go-128go-noir-de-minuit.html,smartphones,0
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-6go-128go-vert-menthe.html,smartphones,0
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-4go-128go-5g-vert-menthe.html,smartphones,2
https://www.mytek.tn/smartphone-xiaomi-redmi-note-14-6go-128go-lime-vert.html,smartphones,3
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-8go-256go-noir-de-minuit.html,smartphones,0
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-8go-256go-vert-menthe.html,smartphones,0
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-8go-256go-bleu-moonlight.html,smartphones,0
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-8go-256go-orange-twilight.html,smartphones,0
https://www.mytek.tn/smartphone-xiaomi-redmi-15-8go-256go-violet-sableux.html,smartphones,0
https://www.mytek.tn/smartphone-xiaomi-redmi-15-8go-256go-noir-de-minuit.html,smartphones,0
https://www.mytek.tn/smartphone-xiaomi-redmi-15-8go-256go-gris-titane.html,smartphones,0
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-4go-128go-5g-noir-de-minuit.html,smartphones,2
https://www.mytek.tn/smartphone-xiaomi-redmi-note-14-8go-256go-noir-de-minuit.html,smartphones,3
https://www.mytek.tn/smartphone-xiaomi-redmi-note-14-8go-256go-ocean-blue.html,smartphones,3
https://www.mytek.tn/smartphone-xiaomi-redmi-note-14-8go-256go-lime-vert.html,smartphones,3
https://www.mytek.tn/smartphone-xiaomi-redmi-note-14-4g-8go-256go-sand-gold.html,smartphones,3
https://www.mytek.tn/smartphone-xiaomi-redmi-note-14-8go-128go-ocean-blue.html,smartphones,3
https://www.mytek.tn/smartphone-xiaomi-redmi-note-14-8go-128go-lime-vert.html,smartphones,3
https://www.mytek.tn/smartphone-xiaomi-redmi-note-14-4g-8go-128go-midnight-black.html,smartphones,3
https://www.mytek.tn/smartphone-xiaomi-redmi-note-14-4g-8go-128go-purple.html,smartphones,3
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-5g-6go-128go-noir.html,smartphones,0
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-5g-6go-128go-glacier-blue.html,smartphones,0
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-5g-6go-128go-violet.html,smartphones,0
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-5g-6go-128go-forest-green.html,smartphones,0
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-8go-256go-5g-vert-menthe.html,smartphones,2
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-8go-256go-5g-noir-de-minuit.html,smartphones,2
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-4g-8go-256go-noir.html,smartphones,0
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-4g-8go-256go-forest-green.html,smartphones,0
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-4g-8go-256go-glacier-blue.html,smartphones,0
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-4g-8go-256go-violet.html,smartphones,0
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-5g-6go-128go-couleur-noir.html,smartphones,2
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-5g-6go-128go-couleur-glacier-blue.html,smartphones,2
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-5g-6go-128go-couleur-violet-lavande.html,smartphones,2
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-5g-8go-256go-couleur-noir.html,smartphones,2
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-5g-8go-256go-couleur-glacier-blue.html,smartphones,2
