categorie,marque,gamme,cluster_segmentation,cle_produit,semaine,prix_tnd
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x5c-4go-64go-bleu.html,2,379.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x5c-4go-64go-bleu.html,3,379.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x5c-4go-64go-bleu.html,4,379.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x5c-plus-4g-128go-4go-midnight-black.html,1,479.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x5c-plus-4g-128go-4go-midnight-black.html,2,479.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x5c-plus-4g-128go-4go-midnight-black.html,3,479.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x5c-plus-4g-128go-4go-midnight-black.html,4,479.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x5c-plus-4g-4go-128go-ocean-cyan.html,1,479.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x5c-plus-4g-4go-128go-ocean-cyan.html,2,479.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x5c-plus-4g-4go-128go-ocean-cyan.html,3,479.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x5c-plus-4g-4go-128go-ocean-cyan.html,4,479.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x6c-12go-128go-4g-cyan.html,1,499.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x6c-12go-256go-4g-blanc.html,1,599.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x6c-12go-256go-4g-blanc.html,2,599.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x6c-12go-256go-4g-blanc.html,3,599.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x6c-12go-256go-4g-blanc.html,4,599.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x6c-12go-256go-4g-cyan.html,1,599.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x6c-12go-256go-4g-cyan.html,2,599.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x6c-12go-256go-4g-cyan.html,3,599.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x6c-12go-256go-4g-cyan.html,4,599.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-5g-6go-128go-desert-gold.html,1,639.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-5g-6go-128go-desert-gold.html,2,639.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-5g-6go-128go-desert-gold.html,3,639.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-5g-6go-128go-desert-gold.html,4,639.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-5g-6go-128go-meteor-silver.html,1,639.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-5g-6go-128go-meteor-silver.html,2,639.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-5g-6go-128go-meteor-silver.html,3,639.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-5g-6go-128go-meteor-silver.html,4,639.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-5g-6go-128go-velvet-black.html,1,639.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-5g-6go-128go-velvet-black.html,2,639.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-5g-6go-128go-velvet-black.html,3,639.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-5g-6go-128go-velvet-black.html,4,639.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-coral-tides.html,1,799.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-coral-tides.html,2,799.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-coral-tides.html,3,799.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-coral-tides.html,4,799.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-misty-violet.html,1,799.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-misty-violet.html,2,799.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-misty-violet.html,3,799.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-misty-violet.html,4,799.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-sleek-black.html,1,799.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-sleek-black.html,2,799.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-sleek-black.html,3,799.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-sleek-black.html,4,799.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-sonic-yellow.html,1,799.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-sonic-yellow.html,2,799.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-sonic-yellow.html,3,799.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-sonic-yellow.html,4,799.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-titanium-silver.html,1,799.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-titanium-silver.html,2,799.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-titanium-silver.html,3,799.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-titanium-silver.html,4,799.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-note-40-5g-pro-24go-256go-edition-racing-gris.html,1,999.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-note-60-edge-5g-16go-256go-lunar-titanium.html,1,1129.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-note-60-edge-5g-16go-256go-lunar-titanium.html,2,1129.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-note-60-edge-5g-16go-256go-lunar-titanium.html,3,1129.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-note-60-edge-5g-16go-256go-lunar-titanium.html,4,1129.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-note-60-edge-5g-16go-256go-shadow-black.html,1,1129.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-note-60-edge-5g-16go-256go-shadow-black.html,2,1129.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-note-60-edge-5g-16go-256go-shadow-black.html,3,1129.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-note-60-edge-5g-16go-256go-shadow-black.html,4,1129.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-note-60-edge-5g-16go-256go-silk-green.html,1,1129.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-note-60-edge-5g-16go-256go-silk-green.html,2,1129.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-note-60-edge-5g-16go-256go-silk-green.html,3,1129.0
smartphones,INFINIX,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-infinix-note-60-edge-5g-16go-256go-silk-green.html,4,1129.0
smartphones,INFINIX,Premium,profil_descriptif,https://www.mytek.tn/smartphone-infinix-gt-50-pro-5g-12go-256go-noir.html,1,1869.0
smartphones,INFINIX,Premium,profil_descriptif,https://www.mytek.tn/smartphone-infinix-gt-50-pro-5g-12go-256go-noir.html,2,1869.0
smartphones,INFINIX,Premium,profil_descriptif,https://www.mytek.tn/smartphone-infinix-gt-50-pro-5g-12go-256go-noir.html,3,1869.0
smartphones,INFINIX,Premium,profil_descriptif,https://www.mytek.tn/smartphone-infinix-gt-50-pro-5g-12go-256go-noir.html,4,1869.0
smartphones,INFINIX,Premium,profil_descriptif,https://www.mytek.tn/smartphone-infinix-gt-50-pro-5g-12go-256go-rouge.html,1,1869.0
smartphones,INFINIX,Premium,profil_descriptif,https://www.mytek.tn/smartphone-infinix-gt-50-pro-5g-12go-256go-rouge.html,2,1869.0
smartphones,INFINIX,Premium,profil_descriptif,https://www.mytek.tn/smartphone-infinix-gt-50-pro-5g-12go-256go-rouge.html,3,1869.0
smartphones,INFINIX,Premium,profil_descriptif,https://www.mytek.tn/smartphone-infinix-gt-50-pro-5g-12go-256go-rouge.html,4,1869.0
smartphones,INFINIX,Premium,profil_descriptif,https://www.mytek.tn/smartphone-infinix-note-60-pro-5g-12go-256go-deep-ocean-blue.html,1,1569.0
smartphones,INFINIX,Premium,profil_descriptif,https://www.mytek.tn/smartphone-infinix-note-60-pro-5g-12go-256go-deep-ocean-blue.html,2,1569.0
smartphones,INFINIX,Premium,profil_descriptif,https://www.mytek.tn/smartphone-infinix-note-60-pro-5g-12go-256go-deep-ocean-blue.html,3,1569.0
smartphones,INFINIX,Premium,profil_descriptif,https://www.mytek.tn/smartphone-infinix-note-60-pro-5g-12go-256go-deep-ocean-blue.html,4,1569.0
smartphones,INFINIX,Premium,profil_descriptif,https://www.mytek.tn/smartphone-infinix-note-60-pro-5g-12go-256go-orange.html,1,1569.0
smartphones,INFINIX,Premium,profil_descriptif,https://www.mytek.tn/smartphone-infinix-note-60-pro-5g-12go-256go-orange.html,2,1569.0
smartphones,INFINIX,Premium,profil_descriptif,https://www.mytek.tn/smartphone-infinix-note-60-pro-5g-12go-256go-orange.html,3,1569.0
smartphones,INFINIX,Premium,profil_descriptif,https://www.mytek.tn/smartphone-infinix-note-60-pro-5g-12go-256go-orange.html,4,1569.0
smartphones,INFINIX,Premium,profil_descriptif,https://www.mytek.tn/smartphone-infinix-note-60-pro-5g-12go-256go-titanium.html,1,1569.0
smartphones,INFINIX,Premium,profil_descriptif,https://www.mytek.tn/smartphone-infinix-note-60-pro-5g-12go-256go-titanium.html,2,1569.0
